gameCreation, gameDuration, championName, win, allInPings, baitPings, basicPings, commandPings, dangerPings, enemyMissingPings, enemyVisionPings, getBackPings, holdPings, needVisionPings, onMyWayPings, pushPings
02 - 07 - 2023, 00: 23: 29, Zed, true, 2, 0, 0, 8, 0, 12, 2, 3, 0, 0, 12, 0
02 - 07 - 2023, 00: 31: 09, Akali, false, 0, 0, 0, 7, 0, 7, 1, 1, 0, 1, 17, 0
02 - 07 - 2023, 00: 23: 27, Neeko, true, 0, 0, 0, 8, 0, 3, 3, 0, 2, 0, 10, 0
02 - 07 - 2023, 00: 25: 05, Akali, true, 0, 0, 0, 7, 0, 1, 3, 1, 0, 0, 8, 0
02 - 07 - 2023, 00: 33: 14, Lulu, false, 1, 0, 0, 19, 0, 7, 9, 1, 0, 0, 10, 0
02 - 07 - 2023, 00: 24: 46, Nautilus, false, 0, 0, 0, 6, 0, 5, 8, 3, 0, 0, 15, 0
02 - 07 - 2023, 00: 22: 12, Nautilus, true, 1, 0, 0, 3, 0, 3, 11, 2, 1, 0, 13, 0
01 - 07 - 2023, 00: 25: 49, Pantheon, true, 1, 0, 0, 0, 0, 2, 7, 1, 0, 0, 24, 0
01 - 07 - 2023, 00: 22: 10, Nautilus, true, 0, 0, 0, 4, 0, 1, 2, 1, 0, 0, 16, 0
01 - 07 - 2023, 00: 31: 11, Lulu, true, 1, 0, 0, 1, 0, 5, 3, 0, 0, 0, 6, 1
01 - 07 - 2023, 00: 27: 12, Akali, false, 0, 1, 0, 11, 0, 5, 2, 1, 0, 0, 25, 0
01 - 07 - 2023, 00: 32: 06, Akali, true, 0, 0, 0, 7, 0, 7, 3, 0, 1, 0, 17, 0
30 - 06 - 2023, 00: 33: 36, Veigar, false, 0, 0, 0, 0, 0, 1, 4, 0, 1, 0, 9, 0
27 - 06 - 2023, 00: 24: 34, Nunu, false, 0, 1, 0, 7, 0, 5, 0, 2, 0, 0, 30, 0
27 - 06 - 2023, 00: 29: 33, Nunu, true, 1, 0, 0, 2, 0, 1, 5, 0, 0, 0, 20, 0
27 - 06 - 2023, 00: 34: 38, Akali, false, 0, 2, 0, 8, 0, 16, 5, 2, 0, 0, 7, 0
26 - 06 - 2023, 00: 22: 21, Akali, true, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 9, 0
25 - 06 - 2023, 00: 25: 36, Nautilus, false, 0, 0, 0, 1, 0, 0, 3, 2, 0, 0, 4, 0
25 - 06 - 2023, 00: 15: 16, Akali, false, 0, 0, 0, 2, 0, 6, 0, 0, 0, 0, 8, 0
25 - 06 - 2023, 00: 31: 30, Akali, true, 4, 1, 0, 1, 0, 10, 2, 2, 0, 0, 13, 0
24 - 06 - 2023, 00: 46: 01, Alistar, true, 0, 2, 0, 8, 0, 7, 5, 3, 0, 0, 16, 0
24 - 06 - 2023, 00: 16: 13, Nautilus, true, 0, 1, 0, 0, 0, 2, 0, 1, 0, 0, 4, 0
24 - 06 - 2023, 00: 33: 41, Akali, false, 1, 0, 0, 13, 0, 5, 3, 0, 0, 0, 8, 1
18 - 06 - 2023, 00: 33: 10, Akali, false, 0, 1, 0, 5, 0, 4, 2, 0, 0, 0, 8, 0
18 - 06 - 2023, 00: 29: 33, Akali, true, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 2, 0
18 - 06 - 2023, 00: 16: 49, Akali, false, 0, 0, 0, 3, 0, 10, 0, 0, 0, 0, 4, 0
17 - 06 - 2023, 00: 24: 30, Akali, false, 0, 0, 0, 1, 0, 13, 1, 0, 0, 0, 3, 0
17 - 06 - 2023, 00: 35: 50, Akali, false, 1, 0, 0, 11, 0, 12, 4, 0, 1, 0, 15, 1
17 - 06 - 2023, 00: 28: 15, Akali, false, 1, 0, 0, 3, 0, 6, 0, 1, 0, 0, 15, 0
16 - 06 - 2023, 00: 27: 38, Akali, false, 0, 0, 0, 3, 0, 5, 1, 1, 0, 0, 10, 0
15 - 06 - 2023, 00: 42: 22, Akali, true, 0, 0, 0, 11, 0, 3, 1, 1, 0, 0, 14, 0
