gameCreation,gameDuration,championName,win,allInPings,baitPings,basicPings,commandPings,dangerPings,enemyMissingPings,enemyVisionPings,getBackPings,holdPings,needVisionPings,onMyWayPings,pushPings
12-06-2023,00:28:59,Nidalee,false,5,0,0,6,0,9,0,12,3,0,32,0
12-06-2023,00:37:13,Aphelios,true,2,0,0,13,0,28,0,21,0,0,36,0
12-06-2023,00:21:11,Graves,true,3,0,0,7,0,3,0,1,1,0,41,0
12-06-2023,00:34:08,Kindred,false,7,0,0,6,0,13,0,10,1,0,65,1
12-06-2023,00:19:18,Kindred,false,1,1,0,1,0,8,0,7,0,0,27,0
12-06-2023,00:42:09,Viego,false,7,0,0,12,0,15,0,19,2,0,79,0
12-06-2023,00:28:15,Graves,true,3,0,0,8,0,9,0,7,0,0,31,0
10-06-2023,00:28:09,Draven,false,0,0,0,6,0,18,0,3,1,0,15,0
10-06-2023,00:27:54,Jinx,true,3,0,0,4,0,0,0,3,1,0,38,1
10-06-2023,00:24:37,Graves,true,2,0,0,10,0,2,0,3,1,0,25,0
09-06-2023,00:21:36,Aphelios,false,4,0,0,6,0,13,0,4,0,0,24,0
09-06-2023,00:51:39,Graves,false,3,0,0,16,0,8,0,52,2,0,42,0
09-06-2023,00:23:57,Nidalee,false,4,1,0,5,0,18,0,3,1,0,27,0
09-06-2023,00:23:20,Viego,false,4,0,0,2,0,17,0,3,1,0,41,0
09-06-2023,00:18:51,Kindred,false,1,0,0,2,0,16,0,3,0,0,27,0
09-06-2023,00:23:48,Lucian,true,2,0,0,0,0,0,0,1,0,0,13,0
08-06-2023,00:26:29,Draven,false,0,1,0,4,0,20,0,1,1,0,4,0
08-06-2023,00:29:12,Nidalee,false,4,1,0,8,0,22,0,13,0,0,60,1
08-06-2023,00:27:40,Nidalee,false,8,0,0,5,0,8,0,6,0,0,31,0
08-06-2023,00:21:28,Graves,true,4,0,0,4,0,7,0,4,1,0,24,0
08-06-2023,00:25:49,MonkeyKing,false,6,3,0,7,0,25,0,15,2,0,34,1
08-06-2023,00:30:05,Nidalee,true,1,2,0,4,0,5,0,14,3,0,46,1
08-06-2023,00:26:41,Aphelios,false,2,0,0,1,0,9,0,4,0,0,14,0
07-06-2023,00:24:32,Nidalee,false,2,0,0,3,0,14,0,7,0,0,38,0
07-06-2023,00:26:54,Nidalee,true,0,0,0,5,0,11,1,7,2,0,20,1
05-06-2023,00:29:27,LeeSin,false,2,1,0,19,0,10,0,10,1,0,47,1
