gameCreation,gameDuration,championName,win,allInPings,baitPings,basicPings,commandPings,dangerPings,enemyMissingPings,enemyVisionPings,getBackPings,holdPings,needVisionPings,onMyWayPings,pushPings
01-07-2023,00:33:03,Ashe,false,0,0,0,17,0,5,9,6,0,0,61,0
01-07-2023,00:18:24,Zeri,false,0,0,0,13,0,13,1,0,1,0,10,0
01-07-2023,00:27:19,Varus,false,0,0,0,17,0,12,6,0,0,0,21,0
01-07-2023,00:28:58,Kaisa,true,0,0,0,36,0,7,10,6,0,0,77,0
01-07-2023,00:14:35,Ashe,false,0,0,0,11,0,3,2,1,0,0,29,0
29-06-2023,00:28:50,Vi,false,0,0,0,16,0,3,17,4,0,0,71,1
29-06-2023,00:30:09,Kaisa,true,0,0,0,19,0,6,7,6,1,0,58,0
29-06-2023,00:27:26,Zeri,true,0,2,0,16,0,3,6,1,0,0,18,0
29-06-2023,00:25:18,Ashe,false,0,0,0,16,0,12,9,2,0,0,33,0
27-06-2023,00:36:29,Kaisa,true,1,1,0,43,0,5,10,15,1,0,99,1
27-06-2023,00:15:31,Ashe,true,0,0,0,3,0,1,1,0,1,0,23,0
27-06-2023,00:15:42,Xayah,false,0,0,0,12,0,1,4,0,1,0,24,0
27-06-2023,00:28:57,Ashe,true,0,0,0,6,0,1,6,4,1,0,27,0
27-06-2023,00:24:25,Ashe,true,0,1,0,20,0,2,4,4,0,0,37,0
26-06-2023,00:24:59,Varus,true,0,0,0,29,0,0,9,5,0,0,59,0
26-06-2023,00:21:33,Zeri,true,0,0,0,12,0,2,5,3,1,0,22,0
26-06-2023,00:26:09,Kaisa,true,0,0,0,26,0,2,7,11,1,0,49,1
26-06-2023,00:06:26,Lucian,true,0,0,0,6,0,0,1,0,0,0,9,0
25-06-2023,00:29:00,Xayah,true,0,0,0,17,0,5,6,2,1,1,43,0
25-06-2023,00:33:17,Sivir,true,2,1,0,36,0,7,5,19,0,0,81,1
25-06-2023,00:26:07,Varus,false,0,0,0,8,0,5,8,9,0,1,22,0
25-06-2023,00:20:04,Ezreal,true,0,0,0,22,0,9,3,4,0,0,51,0
24-06-2023,00:24:14,Zeri,false,0,0,0,36,0,15,6,6,1,1,43,0
24-06-2023,00:27:33,Varus,false,0,0,0,35,0,16,6,7,2,0,59,0
24-06-2023,00:15:31,Sivir,false,0,0,0,17,0,2,11,4,2,0,27,0
24-06-2023,00:32:00,Zeri,false,1,0,0,38,0,7,14,7,2,1,90,1
24-06-2023,00:15:25,Ezreal,false,0,0,0,8,0,0,4,3,0,1,13,0
24-06-2023,00:24:38,Aphelios,true,0,0,0,37,0,4,7,2,0,0,67,0
24-06-2023,00:23:11,Kaisa,true,0,0,0,6,0,0,2,1,1,0,33,0
24-06-2023,00:15:35,Varus,true,0,0,0,5,0,1,8,1,0,0,7,0
23-06-2023,00:30:35,Varus,true,1,0,0,38,0,8,10,5,0,0,104,0
23-06-2023,00:15:43,Kaisa,true,0,0,0,15,0,6,6,5,2,0,35,0
23-06-2023,00:27:06,Leblanc,true,0,1,0,26,0,22,10,4,0,0,41,0
23-06-2023,00:29:36,Sivir,false,0,0,0,39,0,7,7,4,2,0,39,0
23-06-2023,00:20:01,Zeri,true,1,0,0,14,0,4,11,5,0,0,30,0
23-06-2023,00:30:37,Zeri,false,0,0,0,27,0,6,12,9,2,0,64,0
22-06-2023,00:23:19,Aphelios,false,0,0,0,28,0,4,4,4,0,0,52,0
22-06-2023,00:21:17,Varus,false,0,0,0,14,0,5,4,0,0,1,23,0
22-06-2023,00:27:01,Kaisa,true,0,0,0,29,0,6,13,9,0,0,58,0
22-06-2023,00:22:13,Zeri,false,0,0,0,14,0,2,1,4,1,0,17,0
22-06-2023,00:22:01,Kaisa,true,0,0,0,13,0,3,8,1,1,0,32,0
22-06-2023,00:15:22,Zeri,false,0,0,0,22,0,1,5,2,1,0,41,0
22-06-2023,00:33:26,Aphelios,false,0,0,0,53,0,0,8,10,0,0,101,3
22-06-2023,00:15:22,Kaisa,true,0,0,0,17,0,0,5,3,0,0,53,0
21-06-2023,00:25:41,Nilah,false,0,1,0,38,0,11,5,3,0,0,45,0
21-06-2023,00:16:06,Zeri,true,0,1,0,15,0,0,1,4,0,0,19,0
21-06-2023,00:29:27,Aphelios,false,0,0,0,27,0,1,8,1,0,0,11,0
21-06-2023,00:32:57,Varus,false,0,1,0,50,0,10,3,10,0,1,50,0
21-06-2023,00:26:34,Kaisa,true,0,0,0,36,0,6,8,3,0,0,53,0
20-06-2023,00:21:19,Nilah,false,1,0,0,18,0,7,4,2,1,0,53,0
20-06-2023,00:25:50,Kaisa,true,0,0,0,21,0,2,10,5,1,0,39,0
20-06-2023,00:19:33,Kaisa,true,0,0,0,26,0,3,2,8,0,0,37,0
20-06-2023,00:19:07,Kaisa,true,0,0,0,23,0,3,3,5,0,0,54,1
20-06-2023,00:22:14,Zeri,true,0,0,0,12,0,0,6,4,0,1,21,1
20-06-2023,00:24:08,Zeri,true,0,0,0,14,0,5,7,0,1,0,20,0
19-06-2023,00:26:52,Zeri,false,0,0,0,35,0,13,2,4,1,0,53,1
19-06-2023,00:20:28,Ashe,false,1,0,0,9,0,8,6,2,1,0,20,0
19-06-2023,00:22:04,Xayah,false,1,0,0,26,0,4,3,4,1,0,51,0
19-06-2023,00:16:34,Ashe,true,0,0,0,14,0,2,1,1,0,0,27,0
19-06-2023,00:31:40,Zeri,false,0,0,0,17,0,6,8,5,0,0,35,0
18-06-2023,00:33:27,Aphelios,true,1,0,0,30,0,9,3,8,0,0,46,0
18-06-2023,00:24:04,Aphelios,true,0,0,0,15,0,9,2,2,0,0,42,0
17-06-2023,00:16:47,Aphelios,true,0,1,0,14,0,4,1,1,1,0,23,0
17-06-2023,00:25:06,Zeri,false,1,0,0,29,0,8,7,3,0,0,34,1
17-06-2023,00:33:31,Ezreal,true,1,0,0,41,0,8,7,2,1,0,55,0
17-06-2023,00:31:21,Xayah,true,1,0,0,44,0,5,10,13,0,0,92,0
16-06-2023,00:25:54,Zeri,false,0,0,0,26,0,5,9,4,0,0,70,0
16-06-2023,00:21:14,Aphelios,true,0,0,0,8,0,3,3,2,2,0,26,0
16-06-2023,00:22:37,Xayah,false,0,0,0,20,0,5,5,3,0,0,32,0
15-06-2023,00:25:07,Zeri,true,0,0,0,27,0,3,1,0,0,0,47,1
15-06-2023,00:25:24,Aphelios,false,0,0,0,15,0,0,2,3,0,0,34,0
15-06-2023,00:25:34,Jinx,false,0,0,0,26,0,9,4,4,0,1,61,0
15-06-2023,00:21:01,Aphelios,true,0,2,0,25,0,2,4,5,0,0,60,0
15-06-2023,00:21:50,Aphelios,false,1,0,0,16,0,2,1,2,0,0,19,0
15-06-2023,00:23:05,Zeri,false,2,0,0,25,0,3,4,3,0,1,32,0
15-06-2023,00:29:58,Ezreal,true,0,1,0,23,0,9,4,7,0,1,77,0
15-06-2023,00:26:33,Aphelios,true,0,0,0,21,0,6,2,5,1,0,69,0
14-06-2023,00:19:22,Jinx,false,1,0,0,26,0,1,3,2,0,0,41,0
14-06-2023,00:20:08,Jinx,false,0,0,0,19,0,0,6,2,0,0,24,0
14-06-2023,00:27:33,Varus,false,0,0,0,22,0,5,13,2,0,0,64,0
13-06-2023,00:01:44,Aphelios,false,0,0,0,0,0,0,0,0,0,0,0,0
13-06-2023,00:23:03,Zeri,true,0,0,0,12,0,2,6,3,0,0,41,0
13-06-2023,00:23:09,Ezreal,true,1,0,0,25,0,2,2,5,0,0,35,0
13-06-2023,00:22:09,Aphelios,true,0,0,0,4,0,2,4,1,0,0,34,0
12-06-2023,00:11:44,Zeri,false,0,0,0,8,0,2,1,0,1,0,11,0
12-06-2023,00:22:38,Aphelios,true,0,0,0,13,0,3,1,4,0,1,58,0
12-06-2023,00:25:08,Zeri,true,0,0,0,16,0,1,4,2,0,0,19,1
12-06-2023,00:19:30,Jinx,true,0,0,0,13,0,1,6,1,0,0,19,0
12-06-2023,00:37:29,Jinx,true,0,0,0,21,0,2,10,2,0,0,33,1
12-06-2023,00:23:44,Sion,false,0,1,0,14,0,3,3,1,0,0,35,0
12-06-2023,00:24:00,Aphelios,false,0,0,0,15,0,10,6,6,0,0,49,0
11-06-2023,00:20:18,Aphelios,true,0,0,0,26,0,2,2,10,0,0,54,0
11-06-2023,00:25:01,Rakan,false,0,0,0,24,0,6,13,3,0,1,65,0
11-06-2023,00:18:40,Ezreal,false,0,0,0,3,0,3,1,1,0,0,13,0
11-06-2023,00:16:04,Jinx,false,0,1,0,10,0,2,4,3,0,0,19,0
10-06-2023,00:25:28,Zeri,false,0,0,0,10,0,2,5,0,0,1,22,0
10-06-2023,00:30:47,Ezreal,true,0,0,0,20,0,10,10,5,0,1,80,0
10-06-2023,00:15:16,Ezreal,true,0,0,0,3,0,0,2,0,0,0,6,0
09-06-2023,00:19:01,Jinx,true,0,0,0,6,0,0,2,1,1,0,19,0
09-06-2023,00:26:30,Xayah,false,0,0,0,24,0,3,8,2,0,0,42,0
