gameCreation,gameDuration,championName,win,allInPings,baitPings,basicPings,commandPings,dangerPings,enemyMissingPings,enemyVisionPings,getBackPings,holdPings,needVisionPings,onMyWayPings,pushPings
30-06-2023,00:23:15,Tristana,true,0,0,0,11,0,3,0,2,0,0,8,0
30-06-2023,00:25:20,Tristana,true,0,0,0,5,0,5,0,2,0,0,4,1
30-06-2023,00:23:19,Tristana,false,0,0,0,8,0,4,0,1,0,0,2,0
30-06-2023,00:22:44,Viego,false,0,0,0,17,0,14,2,16,1,0,20,1
30-06-2023,00:24:32,LeeSin,true,0,0,0,18,0,6,1,13,0,0,4,0
30-06-2023,00:25:47,Lillia,false,0,0,0,15,0,16,0,11,0,0,23,1
30-06-2023,00:18:28,Tristana,true,0,0,0,3,0,4,0,2,0,0,3,0
29-06-2023,00:15:16,Yone,false,0,0,0,3,0,3,0,0,0,0,2,0
29-06-2023,00:29:19,Ahri,true,1,0,0,15,0,3,0,17,0,0,13,0
29-06-2023,00:31:29,Viktor,true,1,0,0,28,0,9,3,6,1,0,17,0
29-06-2023,00:24:11,Ahri,false,0,0,0,20,0,3,1,4,1,0,10,0
27-06-2023,00:22:21,MonkeyKing,true,0,0,0,11,0,2,1,11,0,1,16,0
27-06-2023,00:38:09,Varus,false,0,0,0,36,0,13,0,7,0,0,27,0
27-06-2023,00:20:23,Khazix,false,0,0,0,8,0,2,1,5,0,0,8,0
27-06-2023,00:28:43,LeeSin,false,0,0,0,36,0,3,3,22,0,0,35,0
27-06-2023,00:29:51,Cassiopeia,false,0,0,0,3,0,3,0,7,0,0,12,0
27-06-2023,00:24:40,Leblanc,false,0,0,0,19,0,1,0,9,1,0,11,0
25-06-2023,00:33:01,Kaisa,true,1,0,0,39,0,16,0,11,1,0,9,0
25-06-2023,00:15:32,Tristana,false,0,0,0,10,0,5,0,0,0,0,6,0
25-06-2023,00:20:03,Leblanc,true,0,0,0,8,0,6,1,5,0,0,1,0
25-06-2023,00:27:10,Kaisa,true,0,0,0,16,0,7,1,14,0,0,16,0
25-06-2023,00:22:32,Ezreal,true,0,0,0,14,0,2,1,2,0,0,23,0
24-06-2023,00:30:09,Kaisa,false,1,0,0,22,0,10,1,2,0,0,9,0
24-06-2023,00:23:38,Tristana,false,1,0,0,23,0,6,2,9,0,0,17,0
24-06-2023,00:15:00,Ezreal,true,0,0,0,0,0,1,0,0,0,0,2,0
24-06-2023,00:31:06,Jax,false,1,0,0,18,0,1,0,2,0,0,19,0
24-06-2023,00:23:15,Khazix,false,0,0,0,36,0,10,0,2,1,0,17,0
24-06-2023,00:25:09,Kindred,true,0,0,0,30,0,3,1,8,0,0,23,0
