gameCreation,gameDuration,championName,win,allInPings,baitPings,basicPings,commandPings,dangerPings,enemyMissingPings,enemyVisionPings,getBackPings,holdPings,needVisionPings,onMyWayPings,pushPings
30-06-2023,00:28:37,Ahri,true,0,0,0,12,0,3,5,8,0,1,14,0
30-06-2023,00:38:58,KSante,false,0,0,0,4,0,11,0,14,0,0,27,0
29-06-2023,00:27:42,KSante,false,0,0,0,3,0,0,0,6,0,0,9,0
29-06-2023,00:40:43,Ahri,true,0,0,0,20,0,12,0,7,0,0,31,0
29-06-2023,00:30:22,Renekton,false,0,0,0,7,0,3,0,9,0,0,13,0
29-06-2023,00:23:52,Gnar,true,0,0,0,4,0,1,0,8,0,0,22,0
29-06-2023,00:20:16,Tristana,false,0,1,0,7,0,11,0,10,0,0,10,0
29-06-2023,00:24:40,Gwen,false,0,2,0,9,0,10,0,8,0,0,18,0
28-06-2023,00:29:25,RekSai,true,0,0,0,5,0,4,0,13,1,0,43,0
28-06-2023,00:30:12,Kaisa,true,0,0,0,5,0,5,0,20,0,0,25,0
28-06-2023,00:24:50,Gnar,false,0,1,0,2,0,3,0,7,0,0,12,0
28-06-2023,00:27:30,Ahri,true,0,0,0,10,0,11,0,6,0,0,11,0
28-06-2023,00:32:42,KSante,true,1,0,0,3,0,6,2,18,0,0,30,0
27-06-2023,00:36:04,Khazix,true,0,1,0,1,0,3,0,7,0,0,5,0
27-06-2023,00:31:58,Camille,true,0,0,0,2,0,2,0,3,0,0,6,0
27-06-2023,00:38:29,RekSai,false,0,0,0,3,0,5,0,2,0,0,12,0
25-06-2023,00:22:37,Jayce,true,0,1,0,0,0,6,1,2,0,0,12,0
24-06-2023,00:33:30,KSante,true,1,0,0,7,0,3,0,12,0,0,17,0
24-06-2023,00:32:16,KSante,false,0,0,0,2,0,6,0,5,1,0,19,0
24-06-2023,00:29:11,KSante,false,0,0,0,9,0,5,0,1,0,0,6,0
24-06-2023,00:18:18,Maokai,false,0,0,0,1,0,3,0,3,0,0,14,0
24-06-2023,00:24:38,KSante,true,0,0,0,1,0,0,0,3,0,0,11,0
24-06-2023,00:29:06,Zeri,false,0,0,0,7,0,2,0,2,0,0,12,0
24-06-2023,00:16:43,RekSai,true,0,0,0,1,0,11,0,2,0,0,9,0
24-06-2023,00:22:32,Kennen,true,0,0,0,1,0,5,0,16,0,0,6,0
23-06-2023,00:23:49,Milio,false,0,0,0,3,0,6,1,5,0,0,18,0
23-06-2023,00:22:52,Zeri,true,0,0,0,2,0,9,0,2,0,0,13,0
23-06-2023,00:18:40,Gnar,false,0,0,0,1,0,3,0,1,0,0,5,0
23-06-2023,00:23:48,Ahri,true,0,0,0,4,0,9,1,23,0,1,31,0
21-06-2023,00:15:31,RekSai,true,0,0,0,0,0,7,0,1,0,0,2,0
21-06-2023,00:22:43,Kaisa,true,0,0,0,1,0,10,0,12,0,0,19,0
21-06-2023,00:16:07,Ezreal,false,0,0,0,6,0,3,0,1,0,0,1,0
21-06-2023,00:25:22,Gnar,true,0,0,0,2,0,5,0,12,1,0,11,0
21-06-2023,00:25:38,RekSai,true,0,0,0,3,0,15,0,12,2,0,8,0
21-06-2023,00:29:17,Kaisa,true,0,0,0,2,0,27,0,27,0,0,34,0
19-06-2023,00:27:09,KSante,false,0,0,0,1,0,0,0,6,0,0,16,0
19-06-2023,00:17:33,Leblanc,false,0,0,0,0,0,6,0,7,0,0,5,0
19-06-2023,00:25:37,Gragas,false,0,1,0,4,0,7,0,2,0,0,14,0
19-06-2023,00:18:34,Ahri,false,0,0,0,1,0,6,0,9,0,0,11,0
19-06-2023,00:32:05,Leblanc,true,1,0,0,9,0,3,0,9,0,0,25,0
19-06-2023,00:33:08,Milio,true,0,0,0,5,0,4,0,13,0,0,14,0
19-06-2023,00:15:17,Leblanc,true,0,0,0,2,0,8,0,6,0,0,7,0
19-06-2023,00:25:39,Leblanc,true,0,0,0,4,0,11,0,19,0,0,18,0
18-06-2023,00:24:57,Ahri,false,0,0,0,13,0,5,0,23,0,0,24,0
18-06-2023,00:39:24,LeeSin,true,0,0,0,11,0,5,0,10,0,0,43,0
18-06-2023,00:39:06,Gragas,true,0,0,0,7,0,9,0,1,0,0,28,0
18-06-2023,00:31:53,Ahri,true,0,0,0,4,0,6,2,19,0,0,41,0
17-06-2023,00:15:26,KSante,false,0,0,0,3,0,1,0,5,0,0,1,0
17-06-2023,00:26:25,Gragas,false,1,0,0,5,0,14,0,11,0,0,23,0
16-06-2023,00:24:56,KSante,true,0,0,0,0,0,4,0,7,0,0,7,0
16-06-2023,00:37:01,Gragas,true,2,0,0,12,0,7,0,13,0,0,38,0
16-06-2023,00:34:10,Gragas,true,0,0,0,3,0,2,0,20,1,0,36,0
15-06-2023,00:15:39,Gragas,true,0,0,0,2,0,7,1,4,0,0,22,0
15-06-2023,00:21:48,KSante,true,0,0,0,4,0,5,0,0,0,0,2,0
14-06-2023,00:33:38,Gragas,false,1,0,0,6,0,13,0,11,0,0,16,0
14-06-2023,00:25:27,KSante,false,0,1,0,3,0,16,0,2,1,0,14,0
14-06-2023,00:21:40,Jayce,true,0,0,0,6,0,7,0,5,3,1,21,0
14-06-2023,00:28:10,KSante,false,0,0,0,3,0,10,0,16,1,0,7,0
14-06-2023,00:31:37,Zeri,false,0,0,0,0,0,2,1,9,2,0,23,0
13-06-2023,00:28:09,KSante,true,0,1,0,5,0,2,0,9,2,0,16,0
12-06-2023,00:33:50,Gragas,true,0,0,0,3,0,2,0,7,0,0,20,0
12-06-2023,00:26:16,KSante,true,0,0,0,4,0,5,1,12,0,0,13,1
12-06-2023,00:41:29,Gragas,false,0,0,0,7,0,4,2,12,0,0,13,0
12-06-2023,00:15:31,KSante,true,0,0,0,0,0,4,0,6,0,0,4,0
12-06-2023,00:24:26,KSante,false,0,0,0,0,0,4,0,4,0,0,14,0
12-06-2023,00:19:22,KSante,false,0,0,0,0,0,0,0,3,0,0,3,0
12-06-2023,00:19:24,Milio,false,0,0,0,5,0,7,0,5,0,0,17,0
11-06-2023,00:28:24,Gwen,true,0,0,0,0,0,8,0,5,1,0,16,0
11-06-2023,00:15:12,KSante,false,0,0,0,2,0,17,0,1,1,0,12,0
11-06-2023,00:31:44,Ezreal,false,0,0,0,6,0,9,0,2,0,0,17,0
11-06-2023,00:23:24,Sylas,true,1,0,0,3,0,8,0,8,1,0,28,0
10-06-2023,00:19:37,Lissandra,false,0,0,0,4,0,7,0,12,0,0,11,0
10-06-2023,00:24:07,Ezreal,true,0,1,0,9,0,15,0,10,1,0,13,0
10-06-2023,00:33:40,KSante,true,1,0,0,6,0,2,2,8,0,0,36,0
10-06-2023,00:34:30,KSante,true,0,0,0,3,0,2,0,8,0,0,18,1
10-06-2023,00:30:14,Zeri,true,0,0,0,3,0,9,0,7,0,0,30,0
10-06-2023,00:34:07,KSante,true,0,0,0,12,0,8,0,15,0,0,20,0
10-06-2023,00:26:58,KSante,false,0,0,0,10,0,9,1,6,0,0,25,0
07-06-2023,00:25:45,Jinx,true,0,0,0,3,0,2,0,6,1,0,18,0
07-06-2023,00:26:54,Qiyana,false,1,0,0,6,0,24,1,6,1,0,14,0
07-06-2023,00:24:49,Sylas,true,0,0,0,9,0,2,0,4,0,0,19,0
07-06-2023,00:26:39,Jinx,true,1,0,0,1,0,3,0,2,0,0,11,0
07-06-2023,00:22:33,Ahri,false,0,0,0,7,0,4,0,9,0,0,17,0
06-06-2023,00:30:25,KSante,false,0,1,0,0,0,2,0,3,0,0,27,0
06-06-2023,00:26:07,Jayce,false,0,0,0,3,0,8,0,12,0,0,7,0
06-06-2023,00:15:15,Sylas,true,0,0,0,3,0,5,0,3,0,0,15,0
06-06-2023,00:25:03,KSante,false,0,1,0,7,0,9,0,2,0,0,8,0
06-06-2023,00:18:48,Ahri,true,0,1,0,6,0,2,2,6,0,0,6,0
05-06-2023,00:31:49,Jayce,false,0,1,0,2,0,13,0,8,0,0,19,0
05-06-2023,00:28:15,Leblanc,false,0,0,0,7,0,7,0,12,1,0,23,0
05-06-2023,00:29:23,Zeri,false,0,0,0,1,0,6,0,1,0,0,30,1
05-06-2023,00:01:44,Sylas,true,0,0,0,0,0,0,0,0,0,0,0,0
02-06-2023,00:39:41,Leblanc,true,0,1,0,5,0,15,0,8,0,0,21,0
02-06-2023,00:15:21,Qiyana,true,0,0,0,1,0,6,0,3,0,0,5,0
31-05-2023,00:07:02,Sylas,false,0,0,0,1,0,1,0,0,0,0,4,0
31-05-2023,00:26:34,Qiyana,true,0,0,0,4,0,4,0,11,0,0,12,0
31-05-2023,00:18:38,Neeko,false,0,0,0,2,0,3,0,5,0,0,11,0
31-05-2023,00:24:17,Neeko,false,0,0,0,4,0,7,0,6,0,0,9,0
31-05-2023,00:24:09,KSante,true,0,0,0,12,0,12,0,4,0,0,19,0
31-05-2023,00:25:12,Qiyana,true,0,0,0,12,0,7,0,10,0,0,19,0
30-05-2023,00:31:12,Leblanc,false,0,0,0,3,0,5,0,12,0,0,36,0
30-05-2023,00:28:05,Neeko,true,0,0,0,3,0,6,0,7,0,0,22,0
30-05-2023,00:25:17,Neeko,false,0,0,0,7,0,9,0,7,0,0,13,0
30-05-2023,00:24:17,Neeko,true,0,0,0,6,0,3,0,6,0,0,8,0
30-05-2023,00:29:20,Neeko,true,0,1,0,2,0,9,0,6,2,0,20,0
29-05-2023,00:25:33,Ahri,true,0,0,0,5,0,9,0,7,0,0,17,0
29-05-2023,00:22:29,Ahri,true,0,0,0,2,0,5,0,10,0,0,39,1
29-05-2023,00:24:08,KSante,false,0,0,0,1,0,8,0,5,0,0,12,0
26-05-2023,00:22:24,Jhin,false,0,0,0,4,0,4,0,2,0,0,3,0
26-05-2023,00:19:58,Lucian,true,0,0,0,0,0,4,0,4,0,0,19,0
26-05-2023,00:35:16,Nautilus,false,0,0,0,4,0,2,0,5,0,0,21,0
26-05-2023,00:22:11,KSante,true,0,0,0,1,0,9,0,6,0,0,9,0
26-05-2023,00:27:49,KSante,false,0,0,0,2,0,11,0,9,2,0,26,0
26-05-2023,00:22:31,Ahri,true,0,0,0,1,0,8,0,12,0,0,17,0
26-05-2023,00:29:16,KSante,false,0,0,0,2,0,8,0,10,0,0,18,0
25-05-2023,00:21:44,Gragas,true,0,0,0,8,0,1,0,6,0,0,29,0
25-05-2023,00:02:32,Gragas,true,0,0,0,0,0,0,0,0,0,0,0,0
25-05-2023,00:28:32,Gragas,true,0,0,0,6,0,8,0,25,0,0,31,0
25-05-2023,00:26:44,Zeri,false,0,0,0,6,0,3,0,18,1,0,18,0
25-05-2023,00:21:12,KSante,false,0,0,0,2,0,3,0,6,0,0,7,1
25-05-2023,00:26:26,KSante,true,0,0,0,4,0,2,0,4,0,0,22,0
25-05-2023,00:22:38,Sylas,false,0,0,0,3,0,3,1,7,0,0,9,0
24-05-2023,00:23:14,Jinx,false,0,0,0,0,0,10,0,2,1,0,5,0
24-05-2023,00:15:16,KSante,false,0,0,0,2,0,1,0,2,0,0,2,0
24-05-2023,00:28:16,KSante,true,0,0,0,4,0,4,0,2,0,0,13,0
24-05-2023,00:28:03,Gragas,true,0,0,0,4,0,10,1,11,0,0,13,0
24-05-2023,00:19:00,KSante,true,0,0,0,2,0,2,0,7,0,0,10,0
23-05-2023,00:32:09,Gragas,true,0,1,0,6,0,3,0,7,0,0,29,0
23-05-2023,00:41:27,KSante,false,0,0,0,10,0,9,0,13,3,0,29,0
23-05-2023,00:16:37,KSante,true,0,0,0,2,0,0,0,2,0,0,6,0
19-05-2023,00:27:24,Leblanc,false,0,0,0,3,0,6,0,15,0,0,31,0
19-05-2023,00:15:58,Ahri,true,0,0,0,3,0,12,0,2,0,0,8,0
19-05-2023,00:30:07,Leblanc,true,0,0,0,2,0,4,0,9,0,0,23,0
18-05-2023,00:15:21,KSante,false,1,0,0,0,0,3,0,1,0,0,0,0
18-05-2023,00:36:00,Leblanc,false,0,0,0,6,0,8,0,5,0,0,18,0
18-05-2023,00:30:05,Zed,false,1,0,0,4,0,14,0,9,0,0,15,0
