gameCreation,gameDuration,championName,win,allInPings,baitPings,basicPings,commandPings,dangerPings,enemyMissingPings,enemyVisionPings,getBackPings,holdPings,needVisionPings,onMyWayPings,pushPings
01-07-2023,00:13:37,Tristana,true,0,0,0,8,0,2,0,1,0,0,4,0
01-07-2023,00:15:19,Tristana,true,0,0,0,11,0,1,0,3,0,0,3,0
29-06-2023,00:26:33,Tristana,true,0,0,0,19,0,1,0,3,0,0,8,2
29-06-2023,00:25:38,Kaisa,true,4,0,0,13,0,1,1,4,0,0,10,1
29-06-2023,00:22:52,Tristana,false,0,0,0,24,0,6,0,1,0,0,12,0
26-06-2023,00:34:47,Kaisa,true,3,0,0,66,0,10,4,12,1,1,24,0
26-06-2023,00:18:51,Kaisa,false,3,0,0,28,0,3,0,2,0,0,12,0
26-06-2023,00:23:11,Kaisa,true,0,0,0,26,0,2,0,3,0,0,15,0
26-06-2023,00:23:11,Sivir,true,4,0,0,22,0,5,0,4,1,0,16,0
26-06-2023,00:20:05,Sivir,true,1,0,0,23,0,3,1,1,0,0,5,0
26-06-2023,00:16:12,Zeri,false,0,0,0,12,0,1,0,1,0,0,3,0
26-06-2023,00:18:11,Tristana,false,0,0,0,15,0,2,0,0,0,0,5,0
26-06-2023,00:28:36,Kaisa,true,8,1,0,24,0,11,1,12,0,0,21,0
26-06-2023,00:15:26,Aphelios,true,2,0,0,16,0,2,0,3,0,0,4,0
26-06-2023,00:19:53,Lucian,true,0,0,0,16,0,4,0,0,0,0,5,0
26-06-2023,00:38:54,Xayah,false,7,0,0,58,0,7,3,7,0,0,9,0
25-06-2023,00:32:37,Aphelios,true,6,0,0,35,0,4,1,6,0,0,24,0
25-06-2023,00:21:48,Xayah,false,4,0,0,24,0,4,0,3,1,0,28,1
25-06-2023,00:28:12,Varus,false,6,0,0,31,0,3,0,7,0,0,19,0
24-06-2023,00:25:15,Varus,false,2,0,0,53,0,5,1,5,0,0,19,0
24-06-2023,00:15:15,Viego,false,0,1,0,9,0,3,1,3,0,0,16,0
24-06-2023,00:22:16,Kaisa,true,4,0,0,31,0,4,0,6,0,0,21,0
24-06-2023,00:32:41,Aphelios,true,2,0,0,31,0,7,0,6,1,0,21,0
24-06-2023,00:23:17,Sivir,true,8,0,0,24,0,5,0,3,0,0,11,1
23-06-2023,00:12:12,Varus,true,0,0,0,9,0,10,0,4,0,0,5,0
23-06-2023,00:01:42,Xayah,true,0,0,0,0,0,0,0,0,0,0,0,0
23-06-2023,00:22:08,Zeri,false,0,0,0,18,0,5,0,1,0,1,9,0
22-06-2023,00:25:13,Varus,false,1,0,0,36,0,8,5,11,0,0,20,0
22-06-2023,00:26:18,Samira,false,6,1,0,31,0,4,0,6,0,0,35,2
22-06-2023,00:27:11,Sivir,true,1,0,0,30,0,4,1,3,0,0,14,0
21-06-2023,00:26:35,Varus,true,5,0,0,27,0,2,2,8,1,0,30,0
21-06-2023,00:21:55,Kaisa,true,4,0,0,32,0,3,2,1,0,0,18,0
21-06-2023,00:23:42,Varus,true,2,0,0,39,0,6,0,7,0,0,26,1
21-06-2023,00:01:53,Xayah,true,1,0,0,5,0,0,0,2,0,0,2,0
21-06-2023,00:26:10,Lucian,false,2,0,0,28,0,7,0,11,0,0,32,1
20-06-2023,00:30:40,Nautilus,true,12,0,0,48,0,18,1,15,0,0,40,0
20-06-2023,00:27:32,Varus,false,1,0,0,29,0,3,0,0,0,0,11,0
20-06-2023,00:20:36,Kaisa,true,5,0,0,19,0,2,0,5,0,0,8,0
19-06-2023,00:27:38,Varus,false,1,0,0,30,0,1,0,3,0,0,15,0
19-06-2023,00:19:14,Varus,true,4,0,0,18,0,3,0,3,0,0,18,1
19-06-2023,00:24:41,Yasuo,false,1,0,0,26,0,8,0,13,0,0,17,0
19-06-2023,00:23:37,Aphelios,false,2,0,0,14,0,3,1,4,0,0,12,0
19-06-2023,00:32:12,Lucian,false,5,0,0,19,0,2,4,5,1,0,27,2
19-06-2023,00:43:43,Nautilus,true,13,0,0,75,0,13,0,16,1,0,38,0
19-06-2023,00:27:57,Ezreal,true,1,0,0,20,0,4,1,2,0,0,7,0
18-06-2023,00:26:38,Karthus,true,3,0,0,36,0,4,0,10,1,0,13,0
