gameCreation,gameDuration,championName,win,allInPings,baitPings,basicPings,commandPings,dangerPings,enemyMissingPings,enemyVisionPings,getBackPings,holdPings,needVisionPings,onMyWayPings,pushPings
01-07-2023,00:16:38,Renekton,false,0,0,0,7,0,3,3,1,0,0,4,0
29-06-2023,00:26:36,KSante,false,0,0,0,1,0,2,4,1,0,0,1,0
29-06-2023,00:21:34,Renekton,false,0,0,0,0,0,3,1,1,0,0,4,0
28-06-2023,00:20:34,Gnar,true,0,0,0,4,0,6,2,2,0,0,5,0
23-06-2023,00:20:18,Renekton,true,0,0,0,1,0,3,3,0,0,0,4,0
23-06-2023,00:22:36,KSante,false,0,0,0,3,0,1,6,0,0,2,6,0
23-06-2023,00:25:23,Renekton,true,0,0,0,8,0,5,4,1,0,0,13,0
17-06-2023,00:15:34,Gragas,true,0,0,0,6,0,6,3,1,0,0,6,0
17-06-2023,00:02:53,Nasus,true,0,0,0,0,0,0,1,0,0,0,0,0
17-06-2023,00:15:22,Jax,true,0,0,0,0,0,10,1,0,0,0,1,0
16-06-2023,00:35:02,KSante,true,0,0,0,1,0,6,3,0,0,0,15,0
15-06-2023,00:19:21,Renekton,true,0,0,0,3,0,6,1,0,0,0,3,0
15-06-2023,00:19:44,Sion,true,0,0,0,1,0,6,1,0,0,0,4,0
12-06-2023,00:19:15,Jax,true,0,0,0,2,0,26,2,0,0,0,9,0
12-06-2023,00:29:32,Jax,false,0,0,0,0,0,9,1,0,0,0,6,0
12-06-2023,00:24:37,Jax,true,0,0,0,0,0,2,2,0,0,0,1,0
11-06-2023,00:20:08,Jax,false,0,0,0,0,0,3,2,0,0,0,0,0
11-06-2023,00:01:47,Gragas,true,0,0,0,0,0,0,1,0,0,0,0,0
10-06-2023,00:38:12,Jax,false,0,0,0,9,0,6,5,3,0,0,11,0
10-06-2023,00:21:01,KSante,false,0,0,0,0,0,1,1,0,0,0,5,0
10-06-2023,00:15:55,Gragas,true,0,0,0,1,0,23,1,0,0,0,1,0
10-06-2023,00:22:36,KSante,true,0,0,0,0,0,3,5,1,0,0,7,0
03-06-2023,00:30:42,Jayce,true,0,0,0,2,0,8,2,0,0,0,6,0
31-05-2023,00:39:07,Jayce,true,0,0,0,5,0,4,4,0,0,2,10,0
31-05-2023,00:32:31,Kayle,false,0,0,0,8,0,13,5,1,0,0,5,0
31-05-2023,00:34:10,Ornn,false,0,0,0,18,0,2,4,5,0,0,38,0
30-05-2023,00:22:47,Kayle,false,0,0,0,1,0,7,1,0,0,0,5,0
30-05-2023,00:22:05,Kennen,true,0,0,0,8,0,13,4,0,0,0,4,0
29-05-2023,00:21:21,Kayle,true,0,0,0,1,0,1,1,2,0,0,8,0
29-05-2023,00:19:01,Graves,false,0,0,0,3,0,6,1,2,0,0,10,0
29-05-2023,00:26:58,Gnar,true,0,0,0,2,0,1,1,0,0,0,8,0
29-05-2023,00:24:26,Jayce,false,0,0,0,0,0,12,1,0,0,0,6,0
