gameCreation,gameDuration,championName,win,allInPings,baitPings,basicPings,commandPings,dangerPings,enemyMissingPings,enemyVisionPings,getBackPings,holdPings,needVisionPings,onMyWayPings,pushPings
30-06-2023,00:25:53,Rell,false,0,0,0,3,0,2,1,4,0,0,20,0
29-06-2023,00:32:05,Rell,false,0,0,0,5,0,4,15,0,0,1,24,0
29-06-2023,00:18:11,Draven,false,0,0,0,0,0,2,0,0,0,0,0,0
28-06-2023,00:29:10,Samira,true,4,0,0,0,0,3,2,3,1,0,25,1
28-06-2023,00:22:07,Nautilus,true,0,0,0,3,0,1,1,1,0,0,18,0
27-06-2023,00:21:14,Rell,true,0,0,0,1,0,1,3,4,0,0,24,0
26-06-2023,00:34:47,Rakan,true,3,0,0,4,0,10,9,4,0,2,28,0
26-06-2023,00:16:54,Tristana,true,1,1,0,7,0,0,0,1,0,0,11,0
26-06-2023,00:22:27,Xayah,false,0,0,0,6,0,19,0,1,0,0,7,0
26-06-2023,00:13:45,Nautilus,false,0,0,0,1,0,3,0,1,0,0,6,0
26-06-2023,00:33:00,Samira,true,1,1,0,1,0,4,7,7,0,0,31,0
26-06-2023,00:25:58,Rakan,false,0,0,0,1,0,9,1,5,0,0,22,0
25-06-2023,00:23:05,Nautilus,true,1,0,0,1,0,2,2,0,0,0,23,0
24-06-2023,00:34:43,Draven,true,0,0,0,1,0,15,1,2,0,0,13,0
24-06-2023,00:24:08,Nautilus,true,0,0,0,4,0,6,3,6,0,0,30,1
24-06-2023,00:15:31,Samira,true,0,0,0,0,0,1,0,6,0,0,10,0
24-06-2023,00:22:23,Rakan,false,0,0,0,3,0,3,1,0,0,0,10,0
24-06-2023,00:26:49,Belveth,false,1,0,0,3,0,9,5,9,0,0,32,0
20-06-2023,00:36:20,Nautilus,true,0,0,0,6,0,5,2,2,1,0,31,0
20-06-2023,00:24:30,Belveth,true,2,0,0,2,0,2,4,0,0,0,12,0
19-06-2023,00:33:00,Lucian,true,2,1,0,3,0,3,1,0,0,1,28,0
19-06-2023,00:32:05,Nautilus,false,3,0,0,8,0,0,3,0,0,0,39,0
19-06-2023,00:25:40,Rakan,false,2,0,0,2,0,4,1,2,0,0,35,0
18-06-2023,00:26:33,Belveth,true,1,0,0,10,0,2,4,0,0,0,23,0
17-06-2023,00:30:56,Ezreal,false,1,0,0,9,0,1,4,9,0,0,25,0
16-06-2023,00:19:40,Ezreal,false,0,0,0,6,0,1,0,1,0,0,14,0
16-06-2023,00:20:38,Belveth,false,1,0,0,10,0,3,1,10,0,0,25,0
16-06-2023,00:21:01,Nautilus,false,0,0,0,0,0,1,2,0,0,0,12,0
16-06-2023,00:24:28,Belveth,false,2,0,0,7,0,0,1,3,0,0,25,0
15-06-2023,00:18:22,Nautilus,false,0,0,0,3,0,4,0,4,0,0,13,0
15-06-2023,00:31:47,Leona,false,1,0,0,2,0,8,5,3,0,2,23,0
15-06-2023,00:26:33,Pyke,true,1,0,0,1,0,4,3,0,1,1,28,0
15-06-2023,00:22:44,Nautilus,true,1,0,0,6,0,4,2,1,2,1,22,0
14-06-2023,00:24:25,Lucian,false,1,0,0,5,0,4,2,1,0,0,23,0
14-06-2023,00:17:58,Senna,true,0,0,0,2,0,4,2,1,0,0,5,0
13-06-2023,00:15:16,Lucian,true,0,0,0,0,0,0,0,0,0,0,12,0
13-06-2023,00:44:00,Khazix,true,3,0,0,10,0,11,7,8,0,0,24,0
13-06-2023,00:22:17,Ezreal,false,3,0,0,6,0,0,1,0,0,0,15,0
12-06-2023,00:19:42,Draven,true,1,0,0,1,0,1,0,3,0,0,2,0
12-06-2023,00:22:38,Rakan,false,0,0,0,4,0,9,1,11,2,0,15,0
12-06-2023,00:26:56,Milio,false,0,0,0,13,0,7,4,1,2,0,21,0
12-06-2023,00:23:56,Leona,true,1,0,0,13,0,2,2,1,2,1,26,1
12-06-2023,00:23:58,Milio,false,2,0,0,2,0,4,4,4,0,2,19,0
12-06-2023,00:36:29,Annie,false,0,0,0,6,0,8,6,9,0,1,12,0
12-06-2023,00:15:17,TahmKench,false,0,0,0,14,0,3,0,0,0,2,1,0
12-06-2023,00:32:42,Milio,false,0,0,0,10,0,8,2,3,0,0,21,0
12-06-2023,00:39:26,Pyke,true,1,0,0,4,0,8,3,1,0,0,31,0
11-06-2023,00:28:13,Milio,false,0,0,0,3,0,4,8,8,0,0,4,0
10-06-2023,00:11:46,Rakan,true,1,0,0,1,0,3,1,2,0,0,10,0
10-06-2023,00:21:16,Janna,true,0,0,0,1,0,6,4,0,0,0,14,0
10-06-2023,00:28:45,Milio,false,0,0,0,4,0,5,6,9,0,0,5,0
09-06-2023,00:20:48,Pyke,true,0,1,0,4,0,1,1,2,0,0,13,0
09-06-2023,00:15:40,Nautilus,false,0,0,0,0,0,4,2,3,0,0,11,0
09-06-2023,00:29:59,Yuumi,false,1,0,0,11,0,6,2,9,0,0,25,1
09-06-2023,00:24:24,Nami,false,0,0,0,11,0,9,7,2,1,0,11,0
08-06-2023,00:15:24,Lucian,true,0,0,0,0,0,6,1,2,0,0,6,0
08-06-2023,00:32:48,Kalista,false,1,0,0,0,0,9,1,1,0,0,23,0
08-06-2023,00:22:16,Janna,false,0,0,0,11,0,6,0,0,0,0,22,0
07-06-2023,00:37:54,Lucian,false,4,0,0,14,0,14,7,2,1,0,62,0
06-06-2023,00:17:47,Yuumi,true,1,0,0,1,0,15,4,0,0,0,9,0
05-06-2023,00:33:17,Lucian,false,2,0,0,2,0,16,0,0,1,0,18,0
04-06-2023,00:33:48,Milio,true,3,6,0,12,0,13,13,9,0,0,28,0
04-06-2023,00:27:05,Milio,true,0,0,0,17,0,6,3,3,0,0,33,1
04-06-2023,00:29:37,Lucian,false,3,0,0,3,0,12,4,7,2,0,10,0
04-06-2023,00:28:16,Senna,true,0,0,0,3,0,3,3,3,0,0,11,0
03-06-2023,00:29:26,Rakan,true,2,0,0,2,0,2,3,0,0,0,9,0
03-06-2023,00:23:09,Senna,false,0,0,0,2,0,1,8,0,0,0,14,0
03-06-2023,00:23:51,Blitzcrank,false,1,0,0,2,0,3,5,0,0,1,15,0
03-06-2023,00:17:56,Blitzcrank,true,0,0,0,5,0,10,2,0,0,2,29,0
03-06-2023,00:37:33,Pyke,false,3,0,0,17,0,1,2,3,0,0,34,0
02-06-2023,00:21:09,Janna,true,0,0,0,6,0,9,2,1,1,1,42,0
02-06-2023,00:26:24,Lucian,true,0,0,0,3,0,2,0,0,2,0,26,0
02-06-2023,00:25:11,Kalista,true,1,0,0,1,0,2,4,1,0,0,15,0
02-06-2023,00:23:42,Lucian,true,1,0,0,0,0,3,2,0,1,0,26,0
02-06-2023,00:19:55,Blitzcrank,true,0,0,0,9,0,5,5,1,0,0,25,0
01-06-2023,00:31:38,Neeko,true,0,0,0,7,0,6,2,1,1,0,25,0
01-06-2023,00:18:34,Nami,true,0,0,0,2,0,7,1,0,0,0,14,0
01-06-2023,00:19:52,Senna,true,0,0,0,5,0,2,3,1,0,1,9,0
01-06-2023,00:32:48,Senna,true,0,0,0,8,0,3,6,6,0,0,34,0
01-06-2023,00:18:04,Milio,true,0,0,0,8,0,4,1,5,1,0,7,0
01-06-2023,00:27:00,Nautilus,true,0,0,0,3,0,3,0,9,0,0,28,0
31-05-2023,00:15:17,Zeri,false,0,0,0,4,0,1,0,1,1,0,4,0
04-05-2023,00:27:41,Senna,true,1,0,0,10,0,1,4,2,1,0,24,0
04-05-2023,00:31:22,Neeko,true,0,0,0,5,0,6,6,2,1,1,22,0
02-05-2023,00:20:03,Jhin,false,0,0,0,2,0,2,0,1,0,0,13,0
02-05-2023,00:22:10,Jinx,false,2,0,0,5,0,1,0,0,0,0,7,0
02-05-2023,00:29:12,Nautilus,false,2,0,0,13,0,0,7,1,0,0,22,0
02-05-2023,00:30:12,Pyke,true,0,0,0,10,0,8,5,8,0,0,17,0
02-05-2023,00:29:28,Nautilus,true,0,0,0,4,0,2,17,0,0,0,25,0
01-05-2023,00:32:22,Varus,true,9,0,0,11,0,5,2,0,0,0,31,1
01-05-2023,00:27:17,Jhin,false,0,0,0,6,0,2,3,1,1,0,7,0
