gameCreation,gameDuration,championName,win,totalPings,allInPings,baitPings,basicPings,commandPings,dangerPings,enemyMissingPings,enemyVisionPings,getBackPings,holdPings,needVisionPings,onMyWayPings,pushPings
27-06-2023,00:28:05,Aphelios,false,false,0,0,0,1,0,2,5,0,0,0,0,0
27-06-2023,00:30:15,Samira,false,false,0,0,0,2,0,1,1,0,0,0,2,0
26-06-2023,00:27:24,Draven,true,true,0,0,0,3,0,3,2,0,1,0,0,0
26-06-2023,00:31:25,Milio,false,false,0,0,0,1,0,0,7,0,0,1,5,0
25-06-2023,00:22:51,Xayah,false,false,0,0,0,1,0,0,8,0,0,0,1,0
25-06-2023,00:26:04,Lucian,true,true,0,0,0,3,0,6,3,0,0,0,1,0
25-06-2023,00:28:40,Varus,false,false,0,0,0,1,0,1,0,0,0,0,5,0
25-06-2023,00:25:34,Kaisa,false,false,0,0,0,1,0,4,3,0,0,1,0,0
25-06-2023,00:27:53,Kaisa,false,false,0,0,0,3,0,5,4,0,0,2,11,1
25-06-2023,00:23:02,Caitlyn,true,true,0,0,0,0,0,1,4,0,0,0,10,0
24-06-2023,00:24:04,Aphelios,false,false,0,0,0,4,0,3,1,0,0,0,0,0
24-06-2023,00:29:38,Varus,false,false,0,2,0,0,0,6,1,0,0,0,12,0
23-06-2023,00:20:26,Lucian,true,true,0,0,0,0,0,0,2,0,0,1,3,0
23-06-2023,00:26:11,Xayah,false,false,0,0,0,0,0,2,1,0,1,0,2,0
23-06-2023,00:29:24,Varus,true,true,0,0,0,5,0,5,2,0,0,0,1,0
23-06-2023,00:32:09,Xayah,false,false,0,0,0,5,0,2,1,0,0,1,0,0
22-06-2023,00:21:22,Draven,true,true,0,0,0,2,0,0,1,0,0,0,3,0
22-06-2023,00:26:12,Varus,false,false,0,0,0,3,0,1,5,0,0,0,4,0
22-06-2023,00:27:11,Ezreal,true,true,0,0,0,0,0,25,1,0,0,0,9,0
22-06-2023,00:34:35,Ezreal,true,true,1,0,0,2,0,1,3,0,0,0,4,0
22-06-2023,00:21:27,Caitlyn,false,false,0,0,0,2,0,0,1,0,0,0,1,0
22-06-2023,00:25:25,Kaisa,false,false,1,0,0,1,0,1,2,0,0,0,4,1
22-06-2023,00:26:13,Xayah,true,true,0,0,0,0,0,5,4,0,0,0,7,0
22-06-2023,00:15:34,Kaisa,true,true,0,0,0,0,0,0,1,0,0,0,14,0
22-06-2023,00:24:26,Xayah,false,false,0,0,0,0,0,0,1,0,0,0,0,0
22-06-2023,00:32:14,Xayah,true,true,0,0,0,0,0,1,6,0,0,0,1,0
22-06-2023,00:32:28,Varus,true,true,1,0,0,7,0,6,2,0,0,0,4,0
22-06-2023,00:15:22,Ezreal,false,false,0,0,0,1,0,0,0,0,0,0,0,0
21-06-2023,00:23:27,Vi,true,true,0,0,0,3,0,2,1,0,0,0,11,0
21-06-2023,00:32:01,Ezreal,false,false,0,0,0,1,0,3,3,0,0,0,3,0
21-06-2023,00:33:40,KSante,false,false,0,0,0,2,0,6,1,0,0,0,0,0
21-06-2023,00:28:21,Caitlyn,true,true,0,0,0,6,0,5,2,0,0,0,2,0
21-06-2023,00:23:31,Kaisa,false,false,0,0,0,0,0,1,7,0,0,0,3,0
21-06-2023,00:28:32,Karma,false,false,0,0,0,1,0,1,3,0,0,1,1,0
20-06-2023,00:32:30,Xayah,true,true,0,0,0,3,0,3,0,0,0,0,1,0
20-06-2023,00:15:42,Ezreal,false,false,0,0,0,0,0,0,0,0,0,0,0,0
20-06-2023,00:39:01,Aphelios,true,true,0,0,0,2,0,10,1,0,0,0,13,0
19-06-2023,00:32:24,Ashe,true,true,0,0,0,2,0,2,2,0,0,1,1,0
19-06-2023,00:20:32,Sivir,true,true,0,0,0,0,0,2,5,0,1,0,1,0
19-06-2023,00:26:24,Kaisa,true,true,0,0,0,2,0,1,4,0,1,0,2,0
