gameCreation, gameDuration, championName, win, allInPings, baitPings, basicPings, commandPings, dangerPings, enemyMissingPings, enemyVisionPings, getBackPings, holdPings, needVisionPings, onMyWayPings, pushPings
02 - 07 - 2023, 00: 30: 32, Azir, true, 0, 0, 0, 17, 0, 2, 0, 0, 0, 0, 13, 0
02 - 07 - 2023, 00: 15: 44, Azir, true, 1, 0, 0, 1, 0, 8, 0, 0, 1, 0, 9, 0
02 - 07 - 2023, 00: 30: 19, Azir, true, 0, 0, 0, 9, 0, 5, 0, 0, 0, 0, 8, 0
02 - 07 - 2023, 00: 33: 12, Sion, false, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 15, 0
02 - 07 - 2023, 00: 27: 05, Azir, false, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0
02 - 07 - 2023, 00: 37: 48, Jax, true, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 11, 0
01 - 07 - 2023, 00: 15: 48, Tristana, true, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 2, 0
01 - 07 - 2023, 00: 22: 25, Azir, true, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 6, 0
01 - 07 - 2023, 00: 24: 03, Azir, true, 0, 0, 0, 1, 0, 10, 0, 0, 0, 0, 8, 0
01 - 07 - 2023, 00: 35: 34, Azir, true, 0, 0, 0, 7, 0, 3, 0, 0, 0, 0, 29, 0
01 - 07 - 2023, 00: 31: 24, Tristana, true, 0, 0, 0, 13, 0, 3, 0, 0, 0, 0, 17, 0
01 - 07 - 2023, 00: 21: 38, Tristana, false, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 10, 0
01 - 07 - 2023, 00: 38: 37, Tristana, true, 0, 0, 0, 9, 0, 7, 1, 0, 0, 0, 27, 0
01 - 07 - 2023, 00: 16: 57, Tristana, true, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 4, 0
01 - 07 - 2023, 00: 25: 52, Tristana, true, 0, 0, 0, 5, 0, 2, 0, 0, 0, 0, 7, 0
01 - 07 - 2023, 00: 20: 10, Azir, true, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 9, 0
01 - 07 - 2023, 00: 19: 09, Azir, true, 0, 0, 0, 5, 0, 11, 0, 0, 0, 0, 4, 0
01 - 07 - 2023, 00: 15: 35, Tristana, true, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 1
01 - 07 - 2023, 00: 34: 01, Sylas, true, 0, 0, 0, 19, 0, 2, 0, 0, 0, 0, 12, 0
30 - 06 - 2023, 00: 25: 04, Tristana, true, 0, 0, 0, 12, 0, 3, 0, 0, 0, 0, 1, 0
29 - 06 - 2023, 00: 19: 28, Tristana, true, 0, 1, 0, 1, 0, 6, 0, 0, 0, 0, 1, 0
29 - 06 - 2023, 00: 33: 55, Lissandra, false, 0, 0, 0, 8, 0, 5, 1, 0, 1, 0, 22, 0
27 - 06 - 2023, 00: 27: 22, Sion, true, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 6, 0
27 - 06 - 2023, 00: 30: 03, Rumble, true, 0, 0, 0, 4, 0, 12, 0, 0, 0, 0, 6, 0
27 - 06 - 2023, 00: 13: 13, Rumble, true, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
27 - 06 - 2023, 00: 26: 41, Azir, false, 0, 0, 0, 7, 0, 13, 2, 0, 0, 0, 14, 0
27 - 06 - 2023, 00: 15: 40, Ezreal, false, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0
26 - 06 - 2023, 00: 30: 30, Gnar, true, 0, 0, 0, 6, 0, 1, 0, 0, 0, 0, 6, 0
26 - 06 - 2023, 00: 27: 36, Leblanc, false, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0
26 - 06 - 2023, 00: 35: 00, Neeko, true, 0, 0, 0, 10, 0, 1, 0, 0, 0, 0, 10, 0
25 - 06 - 2023, 00: 31: 25, Leblanc, true, 0, 0, 0, 6, 0, 1, 0, 0, 0, 0, 10, 0
25 - 06 - 2023, 00: 40: 51, Sion, false, 0, 0, 0, 12, 0, 6, 0, 0, 0, 0, 23, 0
25 - 06 - 2023, 00: 20: 40, Gwen, false, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0
25 - 06 - 2023, 00: 27: 08, Kennen, true, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 9, 0
25 - 06 - 2023, 00: 15: 16, Tristana, true, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 2, 0
25 - 06 - 2023, 00: 30: 35, Qiyana, false, 0, 0, 0, 11, 0, 4, 0, 0, 0, 0, 21, 0
25 - 06 - 2023, 00: 30: 33, Ezreal, false, 0, 0, 0, 17, 0, 3, 0, 0, 0, 0, 14, 0
25 - 06 - 2023, 00: 28: 48, Neeko, true, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 5, 0
24 - 06 - 2023, 00: 20: 45, Kindred, true, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 10, 0
24 - 06 - 2023, 00: 15: 11, Neeko, false, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
24 - 06 - 2023, 00: 23: 55, Ornn, false, 0, 0, 0, 2, 0, 4, 0, 0, 0, 0, 9, 0
24 - 06 - 2023, 00: 35: 33, Rumble, true, 0, 0, 0, 11, 0, 1, 0, 0, 0, 1, 12, 0
24 - 06 - 2023, 00: 24: 44, Neeko, false, 1, 0, 0, 1, 0, 8, 0, 0, 0, 0, 1, 1
24 - 06 - 2023, 00: 28: 22, Jax, true, 0, 0, 0, 2, 0, 8, 0, 0, 0, 0, 7, 0
24 - 06 - 2023, 00: 23: 43, Ornn, true, 0, 0, 0, 1, 0, 4, 0, 0, 0, 0, 3, 0
24 - 06 - 2023, 00: 27: 43, Gnar, false, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 4, 0
24 - 06 - 2023, 00: 29: 12, Gnar, true, 0, 1, 0, 15, 0, 2, 0, 0, 1, 0, 8, 0
24 - 06 - 2023, 00: 30: 41, Renekton, false, 1, 0, 0, 9, 0, 0, 0, 0, 0, 0, 8, 0
23 - 06 - 2023, 00: 12: 41, Ornn, false, 0, 0, 0, 1, 0, 13, 0, 0, 0, 0, 0, 0
23 - 06 - 2023, 00: 29: 32, TwistedFate, false, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 4, 0
23 - 06 - 2023, 00: 31: 16, Leblanc, true, 0, 0, 0, 5, 0, 1, 0, 0, 0, 0, 10, 0
23 - 06 - 2023, 00: 27: 09, Neeko, false, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 0
23 - 06 - 2023, 00: 21: 23, Qiyana, false, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 5, 0
22 - 06 - 2023, 00: 33: 59, Leblanc, false, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8, 1
22 - 06 - 2023, 00: 24: 45, Leblanc, true, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 6, 0
21 - 06 - 2023, 00: 32: 00, Nautilus, false, 1, 0, 0, 12, 0, 0, 0, 0, 0, 1, 14, 0
21 - 06 - 2023, 00: 26: 22, Ornn, true, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 14, 0
21 - 06 - 2023, 00: 24: 38, Leblanc, true, 0, 0, 0, 2, 0, 14, 0, 0, 0, 0, 4, 0
20 - 06 - 2023, 00: 15: 34, Leblanc, true, 0, 0, 0, 1, 0, 4, 0, 0, 1, 0, 1, 0
19 - 06 - 2023, 00: 39: 55, Leblanc, false, 0, 0, 0, 6, 0, 3, 1, 0, 0, 0, 8, 0
19 - 06 - 2023, 00: 32: 24, Leblanc, true, 0, 0, 0, 13, 0, 2, 0, 0, 0, 0, 44, 0
19 - 06 - 2023, 00: 20: 32, Azir, true, 0, 0, 0, 10, 0, 2, 0, 0, 0, 0, 3, 0
19 - 06 - 2023, 00: 26: 24, Neeko, true, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 11, 0
18 - 06 - 2023, 00: 30: 39, Ornn, true, 1, 0, 0, 6, 0, 2, 0, 0, 0, 0, 24, 0
18 - 06 - 2023, 00: 30: 42, Akali, false, 0, 1, 0, 4, 0, 3, 0, 0, 0, 0, 10, 0
18 - 06 - 2023, 00: 23: 51, Gnar, false, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 10, 0
18 - 06 - 2023, 00: 28: 15, Zeri, false, 0, 0, 0, 5, 0, 3, 0, 0, 0, 0, 0, 0
18 - 06 - 2023, 00: 30: 11, Renekton, false, 0, 0, 0, 7, 0, 5, 0, 0, 1, 0, 11, 0
18 - 06 - 2023, 00: 30: 43, Olaf, true, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 8, 0
18 - 06 - 2023, 00: 24: 04, Renekton, true, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 1
18 - 06 - 2023, 00: 18: 44, Gnar, false, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0
18 - 06 - 2023, 00: 33: 15, Gnar, true, 0, 0, 0, 4, 0, 1, 0, 0, 0, 0, 4, 0
17 - 06 - 2023, 00: 23: 17, Ahri, false, 0, 0, 0, 7, 0, 2, 0, 0, 0, 0, 4, 0
17 - 06 - 2023, 00: 23: 20, Aatrox, false, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 9, 0
17 - 06 - 2023, 00: 20: 02, Gnar, true, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0
17 - 06 - 2023, 00: 18: 09, Gnar, false, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0
17 - 06 - 2023, 00: 28: 12, Twitch, false, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0
17 - 06 - 2023, 00: 19: 40, Jayce, true, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 6, 0
17 - 06 - 2023, 00: 29: 12, Yasuo, false, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 8, 0
17 - 06 - 2023, 00: 27: 18, Neeko, true, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 0
17 - 06 - 2023, 00: 26: 10, Neeko, true, 1, 0, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0
17 - 06 - 2023, 00: 24: 32, Neeko, true, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 0
16 - 06 - 2023, 00: 35: 11, Neeko, true, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 6, 0
16 - 06 - 2023, 00: 29: 26, Gnar, false, 0, 0, 0, 3, 0, 2, 0, 0, 0, 0, 6, 0
16 - 06 - 2023, 00: 31: 31, Gnar, true, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 13, 0
16 - 06 - 2023, 00: 35: 32, Leblanc, true, 0, 0, 0, 6, 0, 7, 0, 0, 0, 0, 2, 0
15 - 06 - 2023, 00: 31: 42, Rumble, false, 0, 0, 0, 6, 0, 8, 0, 0, 0, 0, 6, 0
15 - 06 - 2023, 00: 33: 23, Leblanc, false, 0, 0, 0, 6, 0, 9, 0, 0, 0, 0, 11, 0
