gameCreation,gameDuration,championName,win,allInPings,baitPings,basicPings,commandPings,dangerPings,enemyMissingPings,enemyVisionPings,getBackPings,holdPings,needVisionPings,onMyWayPings,pushPings
29-06-2023,00:31:01,Jayce,false,1,0,0,22,0,5,3,0,0,0,19,2
29-06-2023,00:31:29,Varus,false,2,0,0,24,0,13,0,0,1,0,47,8
29-06-2023,00:24:05,Khazix,true,0,0,0,5,0,6,0,0,1,0,25,3
29-06-2023,00:31:10,Poppy,true,0,1,0,19,0,2,5,0,3,0,33,6
29-06-2023,00:19:23,Poppy,false,0,0,0,6,0,7,3,0,0,0,17,0
29-06-2023,00:25:25,Ahri,true,0,0,0,8,0,14,0,0,0,0,20,2
26-06-2023,00:16:03,Poppy,true,1,0,0,12,0,8,0,0,0,0,21,1
26-06-2023,00:24:27,Khazix,false,1,1,0,12,0,10,0,0,0,1,31,0
26-06-2023,00:18:44,MonkeyKing,true,0,0,0,13,0,9,2,0,0,0,26,1
25-06-2023,00:21:07,Poppy,false,0,0,0,18,0,7,0,0,0,0,22,7
25-06-2023,00:36:21,Sejuani,true,0,0,0,50,0,18,0,0,2,0,51,5
23-06-2023,00:25:49,Nidalee,true,2,0,0,20,0,0,2,0,1,0,26,1
23-06-2023,00:23:37,Graves,true,0,0,0,36,0,5,0,0,1,0,44,2
22-06-2023,00:10:20,Kindred,true,0,1,0,4,0,4,0,0,0,0,6,0
21-06-2023,00:15:13,Graves,true,0,0,0,9,0,9,0,0,0,0,17,1
18-06-2023,00:26:25,Poppy,false,0,0,0,18,0,7,1,0,0,0,31,2
18-06-2023,00:15:51,Ahri,true,0,1,0,6,0,13,0,0,0,0,19,1
17-06-2023,00:20:48,Gragas,true,0,0,0,13,0,6,1,0,0,0,20,3
04-06-2023,00:15:35,LeeSin,false,0,1,0,6,0,1,1,0,1,0,7,0
04-06-2023,00:27:21,Yasuo,true,1,0,0,22,0,9,2,0,0,2,7,2
04-06-2023,00:22:11,Yone,false,0,0,0,16,0,3,0,0,0,0,22,2
04-06-2023,00:23:51,Ahri,true,0,0,0,6,0,13,0,0,0,0,11,1
04-06-2023,00:27:36,Khazix,true,0,0,0,10,0,10,1,0,0,0,21,0
01-06-2023,00:23:01,Sylas,false,0,0,0,8,0,6,2,0,0,0,30,1
31-05-2023,00:37:34,Talon,false,1,0,0,49,0,8,1,0,2,0,37,7
31-05-2023,00:28:25,Neeko,false,0,3,0,10,0,4,1,0,1,0,20,1
31-05-2023,00:21:28,Khazix,true,0,1,0,5,0,3,1,0,2,0,17,0
30-05-2023,00:29:40,Talon,true,0,0,0,20,0,8,0,0,3,0,33,1
30-05-2023,00:28:42,Yone,false,0,1,0,7,0,10,0,0,2,0,30,0
30-05-2023,00:15:12,Neeko,true,0,0,0,10,0,2,0,0,1,0,15,3
30-05-2023,00:23:34,Zed,false,0,0,0,5,0,2,0,0,0,0,9,0
30-05-2023,00:31:41,Neeko,true,0,0,0,9,0,10,0,1,0,0,25,1
29-05-2023,00:26:36,Khazix,false,0,0,0,6,0,5,1,0,0,0,24,1
29-05-2023,00:29:13,Neeko,false,1,0,0,14,0,1,0,0,0,0,25,1
28-05-2023,00:31:45,Karthus,true,0,0,0,23,0,8,1,0,0,0,23,0
28-05-2023,00:18:27,Neeko,true,0,0,0,7,0,0,1,0,0,0,29,1
26-05-2023,00:15:14,Neeko,true,0,0,0,3,0,0,0,0,0,0,10,2
26-05-2023,00:26:28,Neeko,true,1,0,0,14,0,4,0,0,1,0,30,0
26-05-2023,00:28:32,Neeko,false,0,0,0,22,0,1,1,0,0,0,28,1
26-05-2023,00:23:01,Neeko,true,0,1,0,12,0,4,0,1,0,0,21,1
25-05-2023,00:29:42,LeeSin,true,0,0,0,29,0,6,0,0,1,1,35,1
25-05-2023,00:26:08,Talon,true,1,0,0,26,0,8,1,0,2,1,49,0
25-05-2023,00:23:13,LeeSin,true,1,1,0,17,0,9,1,0,0,0,37,2
25-05-2023,00:24:49,Talon,false,0,0,0,21,0,7,4,0,2,0,19,0
25-05-2023,00:21:59,Talon,true,0,0,0,10,0,2,0,0,0,0,25,3
25-05-2023,00:15:22,Talon,true,0,1,0,8,0,1,1,0,0,0,15,2
25-05-2023,00:28:59,Talon,false,0,0,0,31,0,1,1,0,1,0,33,0
25-05-2023,00:27:37,Kindred,false,1,0,0,29,0,4,0,0,4,0,15,0
25-05-2023,00:25:36,Kindred,true,2,0,0,16,0,2,0,0,3,0,37,1
24-05-2023,00:23:27,Tristana,true,0,0,0,27,0,11,1,0,1,0,18,0
24-05-2023,00:27:29,Nautilus,true,0,1,0,18,0,8,0,0,1,0,50,0
24-05-2023,00:26:28,LeeSin,false,0,0,0,7,0,8,3,0,2,0,22,1
24-05-2023,00:38:21,Kindred,false,0,0,0,22,0,10,2,0,0,0,49,3
24-05-2023,00:23:55,Kindred,true,0,0,0,9,0,13,0,0,1,0,38,5
22-05-2023,00:15:28,Yasuo,false,0,0,0,13,0,29,0,0,2,0,7,2
21-05-2023,00:22:32,Ekko,false,0,1,0,8,0,14,2,0,0,2,10,0
21-05-2023,00:29:27,LeeSin,true,0,0,0,19,0,12,1,0,0,0,28,2
21-05-2023,00:30:18,Kindred,true,0,0,0,25,0,12,1,0,1,0,26,4
20-05-2023,00:32:13,Ahri,true,0,1,0,18,0,21,1,0,2,0,50,2
20-05-2023,00:16:38,Ahri,true,1,0,0,12,0,5,4,0,2,0,14,0
19-05-2023,00:27:49,Graves,false,1,0,0,19,0,10,0,0,0,0,31,0
19-05-2023,00:28:44,Graves,true,0,1,0,13,0,8,0,0,0,0,30,0
19-05-2023,00:28:08,Viego,false,0,0,0,25,0,6,0,0,1,0,17,2
19-05-2023,00:22:56,Belveth,true,1,0,0,17,0,12,1,0,0,0,31,0
19-05-2023,00:15:17,Kindred,false,1,0,0,12,0,9,0,0,0,0,6,2
19-05-2023,00:23:03,Ekko,true,0,0,0,13,0,6,1,0,0,0,24,0
18-05-2023,00:01:45,Pantheon,false,0,0,0,0,0,0,0,0,0,0,0,0
18-05-2023,00:26:52,LeeSin,true,1,0,0,15,0,10,0,0,1,0,49,4
18-05-2023,00:30:05,Graves,true,0,0,0,27,0,10,0,0,1,0,33,2
18-05-2023,00:28:36,Yone,false,1,2,0,20,0,28,0,0,0,0,38,1
18-05-2023,00:25:58,Lillia,false,0,1,0,21,0,6,1,0,0,0,22,2
17-05-2023,00:28:41,LeeSin,true,0,2,0,13,0,26,1,0,0,0,43,1
17-05-2023,00:22:56,LeeSin,true,0,0,0,17,0,6,2,0,0,0,49,4
17-05-2023,00:15:46,Khazix,true,0,0,0,6,0,11,6,0,0,0,11,0
17-05-2023,00:29:35,Rumble,false,1,0,0,17,0,12,0,0,0,0,38,2
17-05-2023,00:28:35,LeeSin,true,2,0,0,12,0,1,0,0,0,0,38,3
17-05-2023,00:19:01,Nidalee,false,0,0,0,9,0,5,1,0,0,0,39,2
16-05-2023,00:31:06,Nidalee,true,0,0,0,11,0,7,0,0,0,0,40,3
16-05-2023,00:30:33,Rumble,false,2,0,0,12,0,13,1,0,1,0,64,4
16-05-2023,00:37:51,Rumble,true,0,0,0,24,0,4,1,0,0,0,60,2
30-04-2023,00:32:32,LeeSin,false,0,0,0,15,0,11,1,0,0,0,40,1
30-04-2023,00:23:27,Vi,true,1,0,0,7,0,7,3,0,1,0,32,1
30-04-2023,00:32:53,Gragas,true,1,0,0,14,0,6,0,0,2,0,44,1
20-04-2023,00:37:09,LeeSin,true,1,0,0,37,0,11,1,0,1,0,61,3
20-04-2023,00:26:52,Ahri,true,0,0,0,21,0,8,3,0,0,0,27,0
20-04-2023,00:25:40,MonkeyKing,true,0,0,0,11,0,8,1,0,0,0,22,0
20-04-2023,00:23:00,Vi,true,1,0,0,26,0,5,1,0,0,0,27,0
20-04-2023,00:27:21,Leblanc,false,0,0,0,16,0,6,1,0,0,0,18,0
15-04-2023,00:26:21,Vi,true,0,0,0,15,0,9,4,0,0,0,29,1
12-04-2023,00:28:40,LeeSin,true,0,0,0,26,0,10,2,0,2,1,53,1
12-04-2023,00:32:03,Gragas,false,0,0,0,24,0,6,3,0,0,0,34,2
12-04-2023,00:16:08,MonkeyKing,true,0,2,0,10,0,7,1,0,0,0,19,0
11-04-2023,00:27:29,MonkeyKing,true,0,0,0,12,0,3,0,0,0,0,28,1
11-04-2023,00:27:25,LeeSin,false,0,1,0,8,0,2,1,0,0,0,28,2
11-04-2023,00:25:10,Elise,false,0,0,0,6,0,5,1,0,0,0,19,2
10-04-2023,00:25:46,Akali,false,0,0,0,9,0,15,0,0,0,0,9,1
10-04-2023,00:15:12,Elise,true,0,0,0,8,0,6,0,0,0,1,18,1
10-04-2023,00:22:09,Vi,true,1,1,0,15,0,8,0,0,1,0,33,0
10-04-2023,00:25:28,Viego,true,1,0,0,12,0,1,2,0,0,0,23,4
10-04-2023,00:15:25,LeeSin,true,0,0,0,2,0,9,0,0,1,2,21,0
05-04-2023,00:32:25,Graves,false,1,1,0,23,0,6,0,0,0,0,44,1
05-04-2023,00:25:23,MonkeyKing,true,0,0,0,10,0,13,3,0,0,0,28,1
05-04-2023,00:26:02,Sylas,true,0,0,0,8,0,15,0,0,0,0,24,0
04-04-2023,00:26:28,Graves,true,0,0,0,8,0,1,0,0,0,0,11,0
04-04-2023,00:27:21,Kindred,false,0,0,0,15,0,5,1,0,0,0,20,0
