gameCreation,gameDuration,championName,win,allInPings,baitPings,basicPings,commandPings,dangerPings,enemyMissingPings,enemyVisionPings,getBackPings,holdPings,needVisionPings,onMyWayPings,pushPings
18-05-2023,00:18:38,Blitzcrank,false,0,0,0,28,0,8,1,0,0,0,21,1
16-05-2023,00:16:23,Ashe,false,0,0,0,6,0,4,1,0,0,0,12,0
16-05-2023,00:13:00,Zeri,false,0,0,0,0,0,0,0,1,0,0,3,0
16-05-2023,00:31:42,Rakan,true,0,0,0,34,0,2,2,23,1,0,40,2
16-05-2023,00:23:02,Lulu,true,0,0,0,8,0,4,3,0,0,0,57,1
16-05-2023,00:28:06,Heimerdinger,false,0,2,0,5,0,10,2,6,0,0,18,0
11-05-2023,00:29:05,Ashe,false,0,0,0,14,0,13,4,1,0,0,12,0
09-05-2023,00:45:13,Ashe,false,0,1,0,29,0,7,1,10,0,0,65,0
09-05-2023,00:30:55,Blitzcrank,true,0,1,0,28,0,6,1,5,0,0,25,0
09-05-2023,00:30:25,Rakan,false,0,0,0,16,0,6,0,5,0,0,28,0
09-05-2023,00:37:08,Leona,false,0,1,0,29,0,4,5,8,1,0,43,0
09-05-2023,00:28:07,Nautilus,true,0,0,0,20,0,4,2,1,0,0,50,0
09-05-2023,00:39:41,Pyke,false,2,1,0,37,0,6,2,5,0,0,55,0
08-05-2023,00:26:17,Milio,false,0,0,0,19,0,14,2,2,0,0,18,0
08-05-2023,00:36:57,Janna,false,0,0,0,19,0,5,1,0,0,0,28,0
08-05-2023,00:33:44,Ezreal,false,0,0,0,6,0,4,1,0,0,0,9,0
08-05-2023,00:15:38,Yuumi,false,0,0,0,3,0,8,3,0,0,0,10,2
08-05-2023,00:26:12,Milio,false,0,2,0,18,0,9,3,1,0,0,31,0
08-05-2023,00:21:39,Milio,false,1,0,0,15,0,2,1,2,0,0,28,0
08-05-2023,00:23:05,Milio,true,0,1,0,17,0,11,7,0,0,1,47,1
06-05-2023,00:25:04,Milio,false,0,1,0,13,0,14,1,7,0,0,22,0
06-05-2023,00:28:28,Pantheon,false,0,0,0,6,0,9,0,4,0,0,26,2
06-05-2023,00:15:14,Milio,true,0,0,0,17,0,3,0,0,0,0,8,0
06-05-2023,00:24:46,Thresh,false,0,0,0,16,0,9,0,1,0,0,13,0
06-05-2023,00:13:37,Thresh,false,0,0,0,8,0,2,1,3,1,0,17,0
06-05-2023,00:11:57,Rakan,false,0,0,0,7,0,4,2,0,0,0,13,0
06-05-2023,00:30:40,Nautilus,true,0,0,0,17,0,5,1,10,0,0,23,1
05-05-2023,00:25:11,Karma,false,0,0,0,12,0,8,1,14,0,0,19,1
05-05-2023,00:28:24,Pyke,false,1,0,0,21,0,2,1,11,0,0,15,0
05-05-2023,00:30:57,Milio,false,0,1,0,33,0,7,4,4,1,0,22,0
05-05-2023,00:26:57,Milio,true,0,1,0,26,0,7,0,6,0,0,21,0
05-05-2023,00:21:58,Pyke,true,1,1,0,14,0,2,0,5,0,0,13,0
04-05-2023,00:23:40,Karma,true,1,1,0,10,0,8,1,2,0,0,24,0
04-05-2023,00:21:27,Milio,false,0,0,0,9,0,8,2,3,0,0,18,0
04-05-2023,00:34:47,Nami,false,1,0,0,21,0,10,7,6,0,0,36,0
03-05-2023,00:29:12,Sett,false,1,1,0,24,0,8,3,7,0,1,24,0
03-05-2023,00:23:46,Amumu,true,0,0,0,30,0,6,3,4,0,0,22,0
03-05-2023,00:26:10,Pyke,false,1,0,0,19,0,10,1,3,0,0,18,0
02-05-2023,00:19:14,Pyke,true,0,0,0,4,0,0,0,1,0,0,17,0
02-05-2023,00:20:16,Milio,true,0,1,0,15,0,6,1,1,0,0,12,0
02-05-2023,00:18:58,Renata,false,0,0,0,10,0,4,1,1,0,0,11,0
02-05-2023,00:19:07,Heimerdinger,true,0,1,0,15,0,6,1,1,0,0,9,0
02-05-2023,00:23:23,Lulu,false,0,0,0,9,0,5,0,0,0,0,14,0
02-05-2023,00:30:05,Pyke,true,0,0,0,32,0,3,0,4,0,0,27,0
02-05-2023,00:31:29,Rakan,false,1,0,0,17,0,8,1,23,0,0,25,0
02-05-2023,00:25:15,Renata,false,2,0,0,27,0,22,2,10,1,0,32,0
02-05-2023,00:30:50,Karma,true,0,1,0,14,0,8,0,8,0,0,36,0
28-04-2023,00:19:27,Lulu,true,0,1,0,10,0,3,5,3,0,0,6,0
28-04-2023,00:38:42,Rakan,true,0,1,0,49,0,16,4,6,0,0,52,0
28-04-2023,00:29:34,Rakan,true,0,1,0,8,0,5,1,1,0,0,25,0
28-04-2023,00:30:39,Thresh,true,1,0,0,23,0,9,0,6,0,0,26,0
28-04-2023,00:24:55,Rakan,false,0,0,0,31,0,8,0,6,0,0,26,0
28-04-2023,00:19:23,Karma,true,0,0,0,9,0,4,0,0,0,0,7,0
28-04-2023,00:31:17,Rakan,false,1,1,0,30,0,4,2,0,0,0,38,0
28-04-2023,00:24:08,Rakan,true,1,0,0,9,0,1,2,8,0,0,38,0
28-04-2023,00:36:13,Ashe,false,2,2,0,23,0,19,1,8,0,0,37,0
28-04-2023,00:27:07,Thresh,true,0,0,0,10,0,1,2,2,0,0,10,1
27-04-2023,00:15:45,Leona,false,0,1,0,9,0,8,1,2,0,0,10,1
27-04-2023,00:34:59,Milio,true,0,3,0,17,0,9,0,3,0,0,25,1
27-04-2023,00:25:35,Rakan,true,0,0,0,16,0,5,3,13,0,0,31,0
27-04-2023,00:24:25,Thresh,true,0,1,0,7,0,2,1,1,0,0,14,0
27-04-2023,00:35:35,Pyke,true,1,0,0,22,0,8,6,3,2,0,19,0
27-04-2023,00:23:31,Thresh,true,0,2,0,6,0,8,1,2,0,0,19,1
26-04-2023,00:20:11,Rakan,false,0,0,0,7,0,3,0,3,0,0,31,0
26-04-2023,00:30:27,Thresh,true,0,1,0,16,0,6,2,3,0,0,23,0
26-04-2023,00:23:57,Rakan,true,0,0,0,8,0,6,2,1,0,0,24,0
26-04-2023,00:15:38,Blitzcrank,false,0,0,0,16,0,5,1,3,0,0,12,0
26-04-2023,00:18:18,Ashe,false,1,1,0,9,0,9,4,0,0,0,9,0
26-04-2023,00:18:42,Nautilus,false,0,1,0,11,0,5,1,1,0,0,9,0
26-04-2023,00:19:39,Karma,true,0,0,0,5,0,6,0,4,0,0,18,0
26-04-2023,00:23:41,Thresh,false,0,0,0,9,0,8,0,2,0,0,6,0
26-04-2023,00:31:54,Nautilus,false,0,0,0,17,0,15,5,6,0,0,19,0
25-04-2023,00:23:16,Pyke,false,0,0,0,6,0,4,0,4,0,0,12,0
25-04-2023,00:01:58,Rakan,false,0,0,0,0,0,0,0,0,0,0,0,0
25-04-2023,00:24:32,Pyke,true,0,0,0,7,0,4,0,3,0,0,7,0
25-04-2023,00:24:06,Thresh,false,0,1,0,24,0,5,1,0,0,0,10,0
24-04-2023,00:34:12,Thresh,true,0,1,0,21,0,15,9,4,0,0,36,0
24-04-2023,00:30:56,Pyke,false,0,1,0,16,0,9,2,4,0,0,21,0
22-04-2023,00:38:27,Ashe,false,0,1,0,27,0,14,1,1,0,0,25,0
22-04-2023,00:24:26,Thresh,true,0,0,0,3,0,13,3,0,0,0,6,0
22-04-2023,00:15:19,Renekton,true,0,0,0,9,0,0,3,0,0,0,0,0
22-04-2023,00:24:56,Pyke,true,1,1,0,8,0,11,1,2,0,0,20,0
22-04-2023,00:27:58,Pyke,true,1,0,0,12,0,8,3,1,0,0,22,0
22-04-2023,00:27:09,Lulu,true,0,0,0,11,0,18,3,1,0,0,13,1
21-04-2023,00:20:25,Pyke,true,0,0,0,11,0,3,2,0,0,0,13,0
21-04-2023,00:25:00,Pyke,true,0,1,0,6,0,3,3,1,0,0,8,0
21-04-2023,00:33:02,Thresh,true,0,0,0,15,0,3,2,4,0,0,12,0
21-04-2023,00:23:06,Leona,false,0,0,0,7,0,1,0,1,0,0,4,0
21-04-2023,00:23:11,Thresh,true,0,0,0,10,0,6,0,0,0,0,8,0
20-04-2023,00:29:06,Pyke,false,0,0,0,14,0,2,1,1,0,0,12,0
20-04-2023,00:24:38,Nautilus,true,0,0,0,6,0,2,1,0,0,0,6,0
20-04-2023,00:25:43,Leblanc,false,0,1,0,4,0,2,3,3,0,0,7,0
20-04-2023,00:30:54,Leona,false,2,0,0,17,0,6,1,0,0,0,20,0
20-04-2023,00:30:53,Rakan,true,0,1,0,7,0,2,1,0,0,0,16,0
20-04-2023,00:26:06,Thresh,false,0,1,0,11,0,4,2,0,0,0,6,0
20-04-2023,00:22:01,Lux,false,0,0,0,29,0,8,0,0,0,0,3,0
20-04-2023,00:23:12,Thresh,false,0,1,0,14,0,5,2,0,0,0,12,0
20-04-2023,00:23:55,Leona,false,0,0,0,15,0,1,5,3,0,0,18,0
20-04-2023,00:15:48,Nautilus,false,0,0,0,8,0,3,1,1,0,0,5,0
20-04-2023,00:29:52,Thresh,true,1,0,0,13,0,9,1,1,0,0,24,1
19-04-2023,00:30:11,Leblanc,false,0,0,0,8,0,6,4,2,0,0,12,0
19-04-2023,00:26:49,Lulu,true,0,3,0,39,0,11,3,0,0,0,13,0
19-04-2023,00:25:33,Thresh,true,0,0,0,11,0,6,4,0,0,0,7,0
19-04-2023,00:28:42,Nautilus,false,0,1,0,17,0,20,4,5,0,0,27,0
19-04-2023,00:23:50,Leblanc,false,0,2,0,11,0,7,1,7,0,0,5,0
19-04-2023,00:33:29,Jayce,false,1,2,0,10,0,16,3,0,0,0,16,2
19-04-2023,00:25:13,Annie,false,0,1,0,21,0,5,2,4,0,0,22,0
19-04-2023,00:37:58,Rakan,true,0,0,0,8,0,0,4,1,0,0,8,0
18-04-2023,00:15:32,Rakan,false,0,0,0,8,0,9,0,1,0,0,10,0
18-04-2023,00:33:59,Pyke,false,0,0,0,20,0,7,0,3,0,0,15,0
18-04-2023,00:29:02,Nautilus,false,0,0,0,8,0,4,2,2,0,0,12,0
18-04-2023,00:27:39,Rakan,true,0,0,0,14,0,5,0,3,0,0,18,0
18-04-2023,00:18:53,Rakan,true,0,0,0,14,0,5,5,9,0,1,15,1
18-04-2023,00:25:03,Thresh,false,0,0,0,20,0,0,1,0,0,0,17,0
