gameCreation,gameDuration,championName,win,allInPings,baitPings,basicPings,commandPings,dangerPings,enemyMissingPings,enemyVisionPings,getBackPings,holdPings,needVisionPings,onMyWayPings,pushPings
17-06-2023,00:19:27,Rakan,false,0,0,0,1,0,0,0,0,0,0,0,0
10-06-2023,00:29:23,Blitzcrank,true,0,0,0,4,0,1,1,0,0,0,0,0
10-06-2023,00:22:14,Milio,false,0,0,0,4,0,2,0,0,0,0,0,0
10-06-2023,00:15:21,Soraka,true,0,0,0,1,0,3,0,0,0,0,1,0
02-06-2023,00:30:03,Bard,false,0,0,0,14,0,0,0,0,0,0,0,0
02-06-2023,00:28:07,Neeko,true,0,0,0,4,0,2,0,0,0,0,7,0
27-04-2023,00:15:11,Milio,false,0,0,0,6,0,1,0,0,0,0,1,0
25-04-2023,00:29:11,TahmKench,true,0,0,0,10,0,0,0,1,0,0,2,0
24-04-2023,00:15:18,Thresh,true,0,0,0,4,0,0,0,0,0,0,0,0
24-04-2023,00:24:34,Milio,true,0,0,0,9,0,0,0,0,0,0,2,0
23-04-2023,00:31:12,Milio,true,0,0,0,14,0,3,0,0,0,0,0,0
22-04-2023,00:26:32,Milio,true,0,0,0,10,0,7,0,0,0,0,0,0
21-04-2023,00:22:52,Milio,true,0,0,0,3,0,2,1,0,0,0,5,0
20-04-2023,00:15:34,Janna,true,0,0,0,7,0,3,0,1,0,0,0,0
16-04-2023,00:22:21,Milio,true,0,0,0,5,0,7,0,1,0,0,5,0
15-04-2023,00:29:36,Milio,false,0,0,0,6,0,1,0,0,0,0,2,0
15-04-2023,00:25:33,Milio,true,0,0,0,17,0,5,0,0,0,0,1,0
15-04-2023,00:17:18,Milio,false,0,0,0,1,0,0,0,0,0,0,0,0
15-04-2023,00:35:36,Milio,true,0,0,0,18,0,3,0,1,0,0,0,0
10-04-2023,00:28:47,Milio,false,0,0,0,18,0,8,0,1,0,0,0,0
10-04-2023,00:38:08,Yuumi,false,1,0,0,25,0,9,0,0,0,0,0,0
07-04-2023,00:17:37,AurelionSol,true,0,0,0,2,0,1,0,0,0,0,1,0
06-04-2023,00:27:28,Milio,true,0,0,0,10,0,1,1,0,0,0,1,0
02-04-2023,00:22:09,Milio,false,1,0,0,12,0,0,1,2,0,0,2,0
31-03-2023,00:26:18,Milio,true,0,0,0,7,0,0,0,0,0,0,0,0
27-03-2023,00:22:24,Milio,false,0,0,0,7,0,1,0,0,0,0,0,0
26-03-2023,00:22:23,Thresh,false,0,0,0,11,0,2,1,0,0,0,4,0
26-03-2023,00:31:27,Milio,true,0,0,0,14,0,6,0,0,0,0,0,0
25-03-2023,00:25:12,Karma,false,0,0,0,16,0,2,0,1,0,0,0,0
25-03-2023,00:36:35,Rell,false,0,0,0,14,0,2,0,0,0,0,3,0
25-03-2023,00:21:32,Milio,true,0,0,0,4,0,0,0,0,0,0,1,0
25-03-2023,00:20:10,Milio,true,0,0,0,10,0,5,0,0,0,0,3,0
24-03-2023,00:28:03,Senna,true,0,0,0,14,0,3,0,0,0,0,1,0
24-03-2023,00:26:57,Karma,true,0,0,0,11,0,5,0,0,0,0,1,0
23-03-2023,00:35:06,Karma,true,0,0,0,11,0,3,0,0,0,0,0,0
23-03-2023,00:26:04,Milio,false,0,0,0,8,0,4,0,0,0,0,0,0
23-03-2023,00:26:33,Alistar,false,0,0,0,15,0,4,0,2,0,0,1,0
23-03-2023,00:23:41,Milio,true,0,0,0,8,0,1,0,0,0,0,0,0
22-03-2023,00:20:06,Rakan,true,0,0,0,9,0,3,0,0,0,0,1,0
21-03-2023,00:29:06,Rakan,true,0,0,0,2,0,1,0,0,0,0,1,0
21-03-2023,00:26:42,Nautilus,false,0,0,0,6,0,0,0,0,0,0,1,0
20-03-2023,00:30:00,Lulu,false,0,0,0,11,0,3,0,0,0,0,1,0
20-03-2023,00:23:32,Rakan,true,0,0,0,7,0,4,0,0,1,0,0,0
20-03-2023,00:28:01,Alistar,true,0,0,0,13,0,6,0,1,0,0,0,0
20-03-2023,00:27:10,Rakan,true,0,0,0,9,0,5,0,1,0,0,0,0
19-03-2023,00:25:58,Annie,false,0,0,0,10,0,4,0,0,0,0,1,0
19-03-2023,00:21:38,Seraphine,false,0,0,0,5,0,1,0,0,0,0,1,0
19-03-2023,00:28:07,Thresh,true,0,0,0,9,0,5,0,0,0,0,0,0
18-03-2023,00:22:24,Renata,true,0,0,0,6,0,3,0,0,0,0,2,0
16-03-2023,00:18:37,Thresh,true,0,0,0,4,0,4,0,0,0,0,0,0
15-03-2023,00:16:21,Nami,true,0,0,0,8,0,0,1,0,0,0,0,0
14-03-2023,00:21:02,Rakan,true,0,0,0,6,0,1,0,1,0,0,0,0
12-03-2023,00:25:46,Alistar,true,0,0,0,12,0,0,0,0,0,0,1,0
12-03-2023,00:27:48,Sejuani,false,0,0,0,5,0,1,0,0,0,0,2,0
11-03-2023,00:16:51,Taliyah,false,1,0,0,2,0,2,0,0,0,0,1,0
11-03-2023,00:31:38,Rakan,true,0,0,0,10,0,0,0,2,0,0,0,0
10-03-2023,00:29:17,Annie,true,0,0,0,6,0,1,0,1,0,0,1,0
10-03-2023,00:26:07,Yuumi,true,0,0,0,12,0,0,1,0,0,0,0,0
08-03-2023,00:27:59,Yuumi,true,0,0,0,8,0,2,0,0,0,0,1,0
08-03-2023,00:23:05,Yuumi,true,0,0,0,9,0,2,0,0,0,0,0,0
06-03-2023,00:22:06,Renata,true,0,0,0,5,0,0,0,0,0,0,1,0
06-03-2023,00:20:22,Annie,true,0,0,0,4,0,1,0,0,0,0,0,0
