gameDuration,championName,win,allInPings,baitPings,basicPings,commandPings,dangerPings,enemyMissingPings,enemyVisionPings,getBackPings,holdPings,needVisionPings,onMyWayPings,pushPings
00:16:41,Zoe,true,0,0,0,0,0,5,1,3,0,0,6,0
00:24:40,Ahri,true,0,1,0,7,0,4,2,0,0,0,8,0
00:27:32,Kaisa,false,0,0,0,0,0,4,0,1,0,0,0,0
00:25:11,Neeko,false,0,0,0,1,0,12,1,0,2,0,19,1
00:44:45,Leblanc,false,0,2,0,12,0,11,1,8,0,0,17,3
00:25:04,Leblanc,true,0,0,0,0,0,9,3,0,0,0,7,0
00:26:59,AurelionSol,true,0,0,0,4,0,5,0,6,0,1,16,0
00:26:12,Cassiopeia,true,0,0,0,10,0,5,3,2,0,0,9,1
00:16:50,Leblanc,true,0,0,0,0,0,5,1,0,0,0,3,0
00:30:16,Ahri,false,0,0,0,7,0,10,1,3,3,0,14,1
00:15:17,Azir,false,0,0,0,0,0,0,0,0,0,0,0,0
00:29:31,Annie,true,0,0,0,10,0,27,1,5,2,0,16,0
00:04:33,AurelionSol,false,0,0,0,1,0,0,0,0,0,0,0,0
00:17:09,Azir,false,0,0,0,2,0,3,1,1,0,0,2,0
00:38:11,TwistedFate,false,0,0,0,9,0,10,0,0,0,0,14,0
00:18:57,Ahri,false,0,0,0,0,0,3,0,0,0,0,3,0
00:27:24,Kaisa,false,0,0,0,7,0,15,1,0,0,0,0,0
00:18:03,Leblanc,false,0,0,0,0,0,3,0,0,0,0,0,0
00:18:58,Neeko,true,0,0,0,2,0,8,0,1,0,0,4,0
00:22:59,KSante,false,0,0,0,5,0,0,0,0,0,0,1,0
00:33:17,Leblanc,false,0,0,0,6,0,2,0,3,1,0,12,1
00:25:38,Neeko,true,0,0,0,2,0,0,1,0,0,0,3,0
00:21:54,Annie,true,0,0,0,15,0,4,0,0,0,0,13,0
00:25:31,Annie,false,0,0,0,8,0,6,6,1,0,0,12,0
00:27:32,Leblanc,true,0,1,0,5,0,7,0,6,0,0,7,0
00:24:06,Corki,false,0,0,0,12,0,3,0,1,0,1,0,0
00:27:05,Leblanc,true,0,0,0,3,0,3,4,1,0,1,8,0
00:25:39,Ahri,true,0,0,0,14,0,7,0,1,0,0,14,0
00:21:24,Leblanc,true,0,0,0,1,0,10,0,5,0,0,5,0
00:29:57,Lucian,true,0,0,0,12,0,6,1,4,1,0,19,0
00:37:02,Ezreal,false,0,0,0,13,0,0,0,0,0,0,0,0
00:31:30,Ahri,true,0,0,0,5,0,3,0,1,0,0,4,0
00:18:17,Leblanc,true,0,0,0,0,0,4,0,0,0,0,2,0
00:27:05,Zoe,false,0,0,0,0,0,5,1,3,2,0,4,0
00:25:41,Zoe,false,0,0,0,6,0,5,3,0,0,0,4,0
00:15:17,Ezreal,false,0,0,0,1,0,11,0,1,0,0,3,0
00:30:33,Leblanc,true,0,0,0,5,0,5,0,3,0,0,13,0
00:23:44,Leblanc,true,0,0,0,2,0,9,5,5,0,0,0,0
00:28:59,Leblanc,true,0,0,0,7,0,9,2,7,0,0,8,0
00:29:08,Yone,true,0,0,0,10,0,2,3,11,4,0,11,0
00:21:03,Leblanc,false,0,0,0,12,0,5,2,3,0,0,14,2
00:20:54,Leblanc,true,0,0,0,8,0,4,1,2,0,0,7,0
00:33:06,Leblanc,true,0,0,0,9,0,4,1,0,0,0,10,0
00:27:10,Neeko,true,0,0,0,7,0,10,1,13,0,0,8,0
00:21:48,Ezreal,true,0,0,0,7,0,8,0,5,0,0,9,0
00:31:34,Ahri,false,0,0,0,14,0,13,4,1,0,0,30,1
00:23:10,AurelionSol,false,0,0,0,3,0,6,0,1,0,0,4,0
00:36:42,Gragas,false,0,0,0,5,0,10,4,4,0,0,19,0
00:01:47,Ezreal,false,0,0,0,0,0,0,0,0,0,0,0,0
00:24:07,Neeko,true,0,0,0,8,0,5,0,1,0,0,12,0
00:27:53,Annie,false,0,0,0,6,0,9,4,1,0,0,0,0
00:15:30,Neeko,true,0,0,0,4,0,3,0,4,0,0,3,0
00:24:09,Ezreal,false,0,0,0,7,0,1,2,0,0,0,0,0
00:40:18,Neeko,false,0,1,0,20,0,11,1,13,0,0,13,0
00:20:35,Ezreal,false,0,0,0,1,0,2,0,0,1,0,0,0
00:23:17,Ezreal,false,0,0,0,16,0,14,4,4,1,0,8,0
00:24:31,Ezreal,true,0,0,0,12,0,4,4,1,0,0,12,0
00:20:24,KSante,false,0,0,0,2,0,0,0,0,0,0,1,0
00:29:30,Neeko,true,0,0,0,8,0,2,1,1,1,0,2,0
00:22:46,Jinx,false,0,0,0,5,0,1,0,0,0,0,1,0
00:29:41,Jinx,false,0,0,0,10,0,0,0,0,1,0,1,0
00:28:30,KSante,false,0,0,0,8,0,6,1,2,0,0,12,0
00:16:13,Jinx,false,0,0,0,2,0,8,5,0,0,0,0,0
00:17:53,KSante,false,0,0,0,2,0,8,0,1,0,0,0,0
00:22:54,Annie,true,0,0,0,11,0,5,3,0,0,1,16,0
00:18:37,AurelionSol,true,0,0,0,4,0,8,0,3,0,0,5,0
00:29:43,Neeko,true,0,0,0,8,0,3,0,3,0,0,11,0
00:31:26,Neeko,true,0,0,0,18,0,3,0,1,0,0,12,0
00:15:13,Neeko,true,0,0,0,2,0,3,2,1,0,0,5,0
00:18:36,Neeko,false,0,0,0,4,0,13,1,3,0,0,5,0
00:16:31,Neeko,true,0,1,0,7,0,9,0,1,0,0,1,0
