gameDuration,championName,win,allInPings,baitPings,basicPings,commandPings,dangerPings,enemyMissingPings,enemyVisionPings,getBackPings,holdPings,needVisionPings,onMyWayPings,pushPings
00:21:38,Anivia,true,0,0,0,0,0,2,0,0,0,0,0,0
00:16:13,Viego,false,0,0,0,0,0,0,0,0,0,0,1,0
00:33:27,Zeri,false,0,0,0,8,0,7,1,2,0,0,7,0
00:22:45,Pyke,false,0,0,0,6,0,4,6,5,0,1,6,0
00:28:08,Nautilus,false,2,0,0,10,0,9,6,4,0,0,33,0
00:20:15,Viego,true,0,0,0,9,0,0,0,0,0,0,0,0
00:21:00,Samira,false,0,0,0,4,0,4,1,0,0,0,2,0
00:15:19,Vayne,true,0,0,0,6,0,0,1,2,0,0,7,0
00:25:15,Varus,true,0,0,0,8,0,4,1,2,2,0,8,0
00:28:55,Ezreal,true,1,0,0,15,0,8,2,5,0,0,22,0
00:22:48,Lux,false,0,0,0,1,0,0,0,0,0,0,0,0
00:25:53,Varus,true,0,0,0,8,0,0,0,5,0,1,9,1
00:23:35,Pyke,true,2,0,0,9,0,2,1,0,0,0,7,0
00:33:55,Zeri,true,0,0,0,18,0,1,3,1,0,0,10,0
00:28:07,Zeri,true,0,0,0,8,0,1,1,2,0,0,9,0
00:29:15,Ezreal,true,0,0,0,6,0,5,7,3,0,0,10,0
00:24:07,Jinx,false,0,0,0,8,0,0,2,0,0,0,3,0
00:23:14,Gwen,false,0,0,0,3,0,0,2,0,0,1,9,0
00:19:20,Zed,true,0,0,0,3,0,0,0,0,0,0,0,0
00:13:42,Camille,true,0,0,0,1,0,0,0,0,0,0,0,0
00:35:42,Varus,true,1,0,0,20,0,0,1,4,0,1,20,0
00:30:44,Varus,true,0,0,0,12,0,6,3,0,0,0,7,0
00:29:31,Lucian,false,1,0,0,9,0,3,1,1,0,1,24,0
00:15:25,Zoe,false,0,1,0,2,0,0,0,0,0,0,5,0
00:16:03,Aphelios,true,0,0,0,3,0,0,0,0,1,0,1,0
00:21:04,Taliyah,true,0,0,0,0,0,0,0,0,0,0,0,0
00:11:10,Nidalee,true,0,0,0,2,0,0,0,0,0,0,0,0
00:34:58,Zeri,true,0,0,0,27,0,5,1,0,0,0,12,0
00:20:36,Lucian,false,0,0,0,7,0,1,1,0,0,0,8,0
00:21:08,Samira,true,0,0,0,10,0,3,2,3,0,0,7,0
00:31:08,Ornn,true,3,1,0,32,0,3,4,0,0,0,24,0
00:41:03,Zoe,true,1,0,0,18,0,4,1,2,0,0,7,0
00:29:30,Jinx,false,0,0,0,6,0,0,2,0,0,0,4,0
00:39:05,Aphelios,true,0,0,0,11,0,9,4,1,1,0,9,0
