gameCreation,gameDuration,championName,win,allInPings,baitPings,basicPings,commandPings,dangerPings,enemyMissingPings,enemyVisionPings,getBackPings,holdPings,needVisionPings,onMyWayPings,pushPings
03-07-2023,00:26:36,Karma,false,0,1,0,10,0,20,4,7,0,0,9,0
03-07-2023,00:35:59,Nidalee,false,3,0,0,11,0,30,0,4,5,0,30,0
03-07-2023,00:25:13,LeeSin,false,2,0,0,17,0,12,0,10,6,0,14,0
02-07-2023,00:33:40,LeeSin,false,1,0,0,41,0,20,3,10,1,3,46,0
02-07-2023,00:38:41,LeeSin,true,2,1,0,32,0,8,7,19,1,1,39,0
01-07-2023,00:31:43,LeeSin,false,4,0,0,24,0,33,6,24,5,0,22,0
01-07-2023,00:31:19,Vi,true,1,0,0,13,0,23,2,7,2,0,39,0
01-07-2023,00:21:25,Nidalee,true,6,0,0,7,0,9,0,2,0,0,24,0
01-07-2023,00:28:03,Poppy,false,3,0,0,10,0,16,4,3,0,0,7,0
01-07-2023,00:32:30,Vi,true,3,0,0,21,0,10,4,5,0,1,36,0
01-07-2023,00:36:44,LeeSin,true,5,0,0,14,0,4,12,2,1,3,9,0
01-07-2023,00:16:05,LeeSin,true,1,0,0,8,0,4,0,1,0,0,20,0
30-06-2023,00:33:26,LeeSin,false,0,0,0,35,0,16,8,5,1,0,19,0
30-06-2023,00:28:31,MonkeyKing,false,0,0,0,24,0,5,5,3,1,0,50,0
30-06-2023,00:26:14,LeeSin,true,5,0,0,11,0,12,2,2,1,1,36,0
30-06-2023,00:35:38,Viego,true,1,0,0,17,0,10,2,2,3,0,22,0
29-06-2023,00:40:04,Thresh,true,1,1,0,54,0,36,3,16,1,0,23,0
27-03-2023,00:28:44,Kayn,false,1,0,0,20,0,22,8,10,4,1,36,0
27-03-2023,00:18:01,Nidalee,false,1,0,0,7,0,23,0,1,4,0,14,0
27-03-2023,00:32:56,LeeSin,false,2,0,0,13,0,15,7,21,2,0,14,0
27-03-2023,00:22:59,LeeSin,true,1,0,0,14,0,15,7,9,0,0,31,0
27-03-2023,00:27:36,LeeSin,true,1,0,0,19,0,12,4,1,1,1,28,0
27-03-2023,00:23:23,MonkeyKing,false,2,0,0,12,0,17,2,3,1,2,15,0
27-03-2023,00:38:41,Elise,true,10,0,0,25,0,9,4,7,3,1,44,0
27-03-2023,00:32:47,Karma,true,3,0,0,29,0,9,10,11,4,0,28,0
27-03-2023,00:31:32,Camille,true,2,0,0,7,0,12,3,5,0,0,29,0
11-03-2023,00:31:40,Sejuani,false,0,0,0,19,0,9,6,5,3,2,10,0
10-03-2023,00:28:12,LeeSin,false,2,0,0,8,0,4,3,6,0,0,14,0
10-03-2023,00:26:46,Vi,true,3,0,0,15,0,9,2,8,1,2,26,0
10-03-2023,00:22:43,Elise,true,0,0,0,15,0,4,5,6,2,0,19,0
10-03-2023,00:23:31,LeeSin,false,1,0,0,10,0,9,0,3,3,2,24,0
10-03-2023,00:33:37,LeeSin,true,5,0,0,12,0,13,8,3,0,1,28,0
10-03-2023,00:18:02,Sejuani,false,1,0,0,10,0,5,1,1,0,0,10,0
10-03-2023,00:20:20,LeeSin,true,2,0,0,13,0,12,11,3,2,0,17,0
10-03-2023,00:28:03,Ezreal,false,0,0,0,8,0,12,3,3,0,0,15,0
10-03-2023,00:25:59,Elise,true,2,0,0,13,0,8,6,9,1,0,32,0
