gameCreation,gameDuration,championName,win,allInPings,baitPings,basicPings,commandPings,dangerPings,enemyMissingPings,enemyVisionPings,getBackPings,holdPings,needVisionPings,onMyWayPings,pushPings
27-06-2023,00:23:44,KSante,false,0,0,0,0,0,0,2,3,0,0,5,0
27-06-2023,00:26:46,Akshan,true,0,0,0,3,0,10,0,7,0,1,19,1
27-06-2023,00:21:35,KSante,false,0,0,0,3,0,0,2,0,0,0,1,0
27-06-2023,00:30:18,MasterYi,true,0,0,0,5,0,1,2,0,0,0,8,0
27-06-2023,00:17:36,RekSai,true,0,0,0,0,0,1,0,0,0,0,5,0
26-06-2023,00:28:34,Lucian,false,0,0,0,2,0,0,1,2,0,1,16,0
26-06-2023,00:31:38,Akshan,true,1,0,0,11,0,0,0,2,0,1,15,0
26-06-2023,00:29:35,KSante,false,0,0,0,0,0,0,3,1,0,0,3,0
25-06-2023,00:22:51,Lissandra,false,0,0,0,7,0,1,2,0,0,1,6,0
25-06-2023,00:26:04,Lissandra,true,0,0,0,4,0,0,5,0,0,0,12,0
25-06-2023,00:27:59,KSante,false,0,0,0,1,0,2,0,0,0,0,3,0
25-06-2023,00:30:27,Ryze,false,0,0,0,10,0,2,3,0,0,0,10,0
25-06-2023,00:44:44,KSante,true,1,0,0,19,0,4,1,22,0,0,32,0
25-06-2023,00:26:00,Ryze,true,1,0,0,11,0,2,3,6,0,0,26,0
25-06-2023,00:22:50,Ryze,false,0,0,0,5,0,8,4,2,0,0,14,0
25-06-2023,00:25:15,Leblanc,false,0,0,0,2,0,2,1,0,0,0,16,0
23-06-2023,00:23:47,KSante,true,0,0,0,9,0,1,0,4,0,1,9,0
23-06-2023,00:34:08,KSante,false,0,0,0,8,0,1,2,1,2,0,8,0
22-06-2023,00:42:40,Aphelios,true,0,0,0,5,0,0,0,0,0,0,8,0
22-06-2023,00:27:57,KSante,false,0,0,0,5,0,1,1,0,0,0,12,0
21-06-2023,00:36:18,KSante,true,0,0,0,25,0,10,4,6,0,0,41,0
20-06-2023,00:34:59,Leblanc,true,0,0,0,11,0,0,1,5,0,0,34,0
20-06-2023,00:29:07,Neeko,true,0,0,0,6,0,0,0,0,0,0,10,0
20-06-2023,00:28:01,Ryze,false,1,0,0,4,0,3,5,17,0,0,18,0
18-06-2023,00:25:14,KSante,false,0,0,0,0,0,0,1,1,0,0,8,0
17-06-2023,00:21:35,Zed,false,0,0,0,6,0,0,3,1,0,0,22,0
17-06-2023,00:23:42,Neeko,false,0,0,0,4,0,0,0,0,0,0,3,0
17-06-2023,00:26:32,KSante,true,0,0,0,8,0,5,2,17,0,0,8,0
16-06-2023,00:32:01,KSante,true,0,0,0,4,0,4,2,0,0,0,7,0
16-06-2023,00:26:17,KSante,false,1,0,0,2,0,3,3,3,0,0,5,0
14-06-2023,00:25:27,Braum,false,1,0,0,4,0,1,4,8,0,1,11,2
13-06-2023,00:21:01,KSante,false,0,0,0,5,0,4,2,7,0,1,1,0
13-06-2023,00:15:39,Nasus,false,0,0,0,0,0,0,0,1,0,0,1,0
13-06-2023,00:25:43,Rell,true,0,0,0,3,0,1,4,9,0,1,2,0
13-06-2023,00:29:41,Braum,true,0,0,0,2,0,1,1,3,0,0,5,0
13-06-2023,00:12:25,KSante,false,0,0,0,1,0,0,0,0,0,0,0,0
13-06-2023,00:29:56,Samira,false,0,0,0,15,0,0,2,6,0,0,9,0
13-06-2023,00:31:14,Caitlyn,false,0,0,0,1,0,0,2,1,0,0,6,0
12-06-2023,00:34:20,KSante,false,0,0,0,3,0,0,1,0,0,0,2,0
12-06-2023,00:01:56,KSante,true,0,0,0,0,0,0,0,0,0,0,0,0
12-06-2023,00:37:07,Azir,true,0,0,0,3,0,0,1,0,0,0,2,0
12-06-2023,00:23:46,KSante,false,0,0,0,1,0,0,1,2,0,0,1,0
12-06-2023,00:34:40,KSante,true,0,0,0,3,0,3,1,0,0,0,7,0
12-06-2023,00:35:12,KSante,true,1,0,0,2,0,3,2,4,0,0,14,0
12-06-2023,00:38:07,KSante,true,0,0,0,5,0,1,4,9,0,0,25,0
12-06-2023,00:24:07,Nilah,false,0,0,0,1,0,0,2,1,0,0,2,0
12-06-2023,00:29:04,Ezreal,false,0,0,0,1,0,6,0,0,0,0,0,0
12-06-2023,00:38:42,Trundle,true,0,0,0,0,0,1,1,0,0,0,8,0
12-06-2023,00:23:58,RekSai,true,0,0,0,0,0,0,2,0,0,0,1,0
12-06-2023,00:01:54,Khazix,true,0,0,0,0,0,0,0,0,0,0,0,0
11-06-2023,00:31:42,KSante,false,0,0,0,1,0,1,2,0,0,0,2,0
11-06-2023,00:20:12,KSante,true,0,0,0,0,0,0,4,1,0,0,4,1
11-06-2023,00:32:21,KSante,true,0,0,0,2,0,2,0,0,0,0,7,0
11-06-2023,00:31:48,KSante,false,1,0,0,5,0,0,1,0,0,0,9,0
10-06-2023,00:30:13,KSante,true,0,0,0,0,0,0,0,2,0,0,3,0
10-06-2023,00:30:08,KSante,true,0,0,0,0,0,0,3,0,0,0,2,0
10-06-2023,00:21:35,KSante,true,0,0,0,0,0,0,7,0,0,1,13,0
09-06-2023,00:26:56,Malphite,true,0,0,0,0,0,0,0,0,0,0,4,0
09-06-2023,00:23:01,KSante,true,0,0,0,0,0,1,0,0,0,0,0,0
09-06-2023,00:21:09,KSante,true,0,0,0,1,0,4,0,0,0,0,5,0
09-06-2023,00:22:50,KSante,true,0,0,0,0,0,1,0,0,0,1,5,0
09-06-2023,00:28:07,Akshan,true,0,0,0,5,0,11,1,3,0,0,19,0
09-06-2023,00:36:47,KSante,false,0,0,0,2,0,1,2,0,0,1,14,0
08-06-2023,00:15:37,KSante,true,0,0,0,2,0,1,0,0,0,0,6,0
08-06-2023,00:22:54,KSante,false,0,0,0,0,0,0,1,0,1,0,7,0
08-06-2023,00:19:40,KSante,true,0,0,0,0,0,2,0,0,0,0,4,0
08-06-2023,00:27:07,KSante,true,0,0,0,1,0,8,2,4,0,0,23,0
08-06-2023,00:20:42,KSante,true,0,0,0,2,0,5,1,2,0,1,1,0
08-06-2023,00:32:04,KSante,true,0,0,0,5,0,3,0,1,0,0,13,0
08-06-2023,00:33:28,KSante,false,0,0,0,10,0,1,1,6,0,0,26,0
08-06-2023,00:15:12,KSante,true,0,0,0,2,0,3,0,0,0,0,7,0
08-06-2023,00:15:45,KSante,true,0,0,0,4,0,0,0,2,0,0,5,0
08-06-2023,00:32:26,KSante,false,1,0,0,4,0,11,2,13,0,0,20,0
08-06-2023,00:25:01,KSante,false,0,0,0,4,0,6,4,3,0,0,9,0
07-06-2023,00:15:23,KSante,true,0,0,0,7,0,6,0,7,0,0,2,0
07-06-2023,00:26:33,KSante,true,0,0,0,6,0,7,4,8,0,1,17,0
07-06-2023,00:32:33,KSante,true,0,0,0,13,0,3,1,5,0,0,16,0
07-06-2023,00:30:24,KSante,false,0,0,0,8,0,4,0,6,0,0,16,0
07-06-2023,00:20:45,KSante,true,0,0,0,1,0,1,1,5,0,0,2,0
07-06-2023,00:15:15,KSante,true,0,0,0,0,0,0,0,0,0,1,3,0
07-06-2023,00:25:39,KSante,true,0,0,0,0,0,4,6,7,0,0,3,0
07-06-2023,00:31:22,KSante,false,1,0,0,0,0,5,2,5,0,0,7,0
07-06-2023,00:20:05,KSante,true,0,0,0,3,0,3,1,2,0,0,9,0
07-06-2023,00:21:32,KSante,false,0,0,0,3,0,2,0,5,0,0,4,0
07-06-2023,00:28:26,Maokai,true,1,0,0,4,0,2,0,0,0,0,16,1
07-06-2023,00:22:53,KSante,false,0,0,0,3,0,1,0,1,0,0,5,2
07-06-2023,00:19:12,KogMaw,false,0,0,0,0,0,1,0,0,0,0,6,0
06-06-2023,00:22:12,KSante,true,0,0,0,1,0,6,0,1,0,0,5,0
06-06-2023,00:26:11,KSante,false,0,0,0,7,0,0,1,0,0,0,7,0
06-06-2023,00:26:46,KSante,true,0,0,0,0,0,1,1,1,0,0,10,0
06-06-2023,00:35:12,KSante,true,0,0,0,3,0,3,4,2,0,0,25,0
06-06-2023,00:22:52,KSante,false,0,0,0,1,0,1,1,3,0,0,6,0
06-06-2023,00:19:50,KSante,false,0,0,0,1,0,0,0,0,0,0,4,0
06-06-2023,00:29:38,Azir,false,0,0,0,2,0,4,0,3,0,0,5,0
06-06-2023,00:23:23,KSante,true,1,0,0,6,0,2,0,3,0,0,30,1
06-06-2023,00:25:25,Amumu,true,0,0,0,4,0,0,1,2,0,0,6,2
06-06-2023,00:28:16,KSante,true,0,0,0,6,0,5,1,6,1,0,6,0
06-06-2023,00:33:50,KSante,true,0,0,0,6,0,2,0,0,0,0,31,0
06-06-2023,00:27:59,KSante,true,0,0,0,7,0,1,3,3,0,0,17,0
06-06-2023,00:19:05,KSante,false,0,0,0,3,0,4,3,17,0,0,0,0
05-06-2023,00:37:08,KSante,true,0,0,0,7,0,3,1,0,0,0,20,0
05-06-2023,00:24:43,KSante,true,1,0,0,8,0,4,0,8,0,0,3,0
05-06-2023,00:28:07,KSante,true,0,0,0,5,0,1,1,4,0,0,10,0
05-06-2023,00:16:13,KSante,true,0,0,0,1,0,3,0,1,0,0,2,1
05-06-2023,00:30:58,KSante,false,0,0,0,2,0,0,1,7,0,0,10,0
05-06-2023,00:01:48,KSante,false,0,0,0,0,0,0,0,1,0,0,0,0
05-06-2023,00:20:58,KSante,true,0,0,0,0,0,5,0,5,0,0,6,0
05-06-2023,00:34:07,KSante,false,0,0,0,8,0,1,1,12,0,0,12,1
05-06-2023,00:25:34,KSante,true,0,0,0,4,0,4,0,5,0,0,13,0
05-06-2023,00:16:04,KSante,true,0,0,0,0,0,3,0,1,0,0,7,0
05-06-2023,00:33:40,KSante,true,1,0,0,5,0,0,1,4,0,0,8,0
04-06-2023,00:29:42,KSante,true,0,0,0,3,0,2,1,1,0,0,8,0
04-06-2023,00:24:29,KSante,false,0,0,0,0,0,1,0,3,0,0,0,0
04-06-2023,00:34:27,KSante,true,0,0,0,6,0,0,1,2,0,0,3,0
