gameCreation,gameDuration,championName,win,allInPings,baitPings,basicPings,commandPings,dangerPings,enemyMissingPings,enemyVisionPings,getBackPings,holdPings,needVisionPings,onMyWayPings,pushPings
30-06-2023,00:37:50,Jax,true,0,0,0,28,0,2,0,25,0,2,12,0
30-06-2023,00:23:39,Vayne,false,0,0,0,13,0,2,1,9,0,0,0,0
30-06-2023,00:26:30,Jax,true,0,0,0,6,0,0,2,11,0,3,13,0
27-06-2023,00:35:09,Jax,true,0,0,0,7,0,3,1,16,0,3,13,0
27-06-2023,00:16:11,Jax,false,0,0,0,3,0,0,0,1,0,0,5,0
27-06-2023,00:29:38,Jax,false,1,0,0,22,0,4,0,7,0,0,10,1
27-06-2023,00:19:10,Jax,false,0,0,0,13,0,0,0,2,0,0,1,0
26-06-2023,00:22:46,Jax,false,0,0,0,6,0,1,0,0,0,0,8,0
23-06-2023,00:24:05,Jax,true,0,0,0,8,0,1,0,0,0,0,19,0
23-06-2023,00:38:48,Jax,true,1,0,0,33,0,4,2,20,1,4,14,0
23-06-2023,00:18:28,Jax,true,0,0,0,9,0,0,2,16,0,1,2,0
21-06-2023,00:15:13,Jax,true,0,1,0,2,0,7,0,1,0,1,2,2
20-06-2023,00:24:02,Jax,false,0,0,0,11,0,1,0,4,0,0,8,3
20-06-2023,00:37:44,Jax,false,0,0,0,10,0,0,0,0,0,0,6,0
20-06-2023,00:27:47,Malphite,false,0,0,0,2,0,6,3,0,0,3,1,0
18-06-2023,00:39:39,Jax,true,0,0,0,10,0,2,2,4,0,0,8,1
15-06-2023,00:27:12,Warwick,true,0,0,0,19,0,1,1,4,1,0,4,0
15-06-2023,00:22:42,Jax,false,0,0,0,1,0,1,0,2,0,0,2,0
15-06-2023,00:21:50,Warwick,true,0,0,0,0,0,2,0,0,0,0,2,0
15-06-2023,00:29:10,Jax,true,0,0,0,5,0,1,0,0,0,0,3,0
13-06-2023,00:34:26,Jax,false,0,0,0,17,0,1,2,5,0,0,6,1
12-06-2023,00:41:29,Jax,true,0,0,0,3,0,4,0,6,0,0,3,0
10-06-2023,00:28:04,Jax,true,0,0,0,27,0,6,1,17,0,1,13,0
09-06-2023,00:26:30,Jax,true,0,0,0,6,0,1,0,3,0,0,7,0
09-06-2023,00:25:01,Jax,false,1,0,0,11,0,3,0,10,0,0,9,0
08-06-2023,00:15:36,Ornn,false,0,0,0,1,0,1,0,0,0,0,2,0
07-06-2023,00:12:44,Jax,false,0,0,0,0,0,3,0,0,0,0,0,0
07-06-2023,00:33:00,Lulu,false,0,0,0,4,0,9,0,3,0,0,11,0
05-06-2023,00:24:34,Jax,false,0,0,0,4,0,0,0,0,0,0,8,0
02-06-2023,00:27:06,Jax,true,0,0,0,16,0,1,3,14,0,1,4,3
02-06-2023,00:30:36,Jax,true,0,0,0,10,0,4,1,11,2,0,16,0
02-06-2023,00:24:59,Jax,true,0,0,0,8,0,0,1,0,0,0,4,0
01-06-2023,00:26:06,Jax,true,0,1,0,12,0,3,1,12,0,0,10,3
31-05-2023,00:17:54,Jax,true,0,0,0,1,0,0,2,0,0,0,6,0
31-05-2023,00:43:00,Warwick,true,3,0,0,26,0,1,1,24,0,0,10,0
23-05-2023,00:32:12,Warwick,false,0,0,0,16,0,2,0,17,0,0,12,0
23-05-2023,00:17:41,Jax,false,0,0,0,5,0,1,0,1,0,0,7,0
23-05-2023,00:22:35,Jax,true,0,0,0,4,0,0,0,0,0,0,3,0
23-05-2023,00:25:59,Jax,false,0,0,0,4,0,1,1,2,0,0,10,0
23-05-2023,00:30:38,Jax,false,0,0,0,20,0,1,2,9,1,0,10,0
22-05-2023,00:27:04,Jax,true,1,0,0,13,0,11,1,6,1,0,6,0
22-05-2023,00:27:07,Warwick,false,0,0,0,10,0,4,0,10,0,1,10,0
22-05-2023,00:33:59,Jax,false,0,0,0,27,0,1,1,16,0,0,17,0
11-05-2023,00:30:43,Jax,true,0,0,0,18,0,0,1,11,0,1,9,3
11-05-2023,00:21:03,Jax,true,0,0,0,6,0,0,0,9,0,0,6,1
10-05-2023,00:32:35,Jax,true,0,0,0,10,0,1,4,6,0,0,7,0
10-05-2023,00:16:06,Jax,true,1,0,0,4,0,0,0,2,0,0,2,2
10-05-2023,00:15:39,Jax,true,0,0,0,2,0,1,0,2,0,0,0,0
10-05-2023,00:32:09,Jax,false,0,0,0,25,0,6,0,9,1,0,12,2
10-05-2023,00:28:27,Jax,false,0,0,0,4,0,0,2,3,0,0,10,0
10-05-2023,00:29:19,Jax,false,0,0,0,20,0,2,1,15,0,0,6,0
10-05-2023,00:35:37,Jax,false,0,0,0,33,0,2,2,5,1,0,13,0
10-05-2023,00:25:41,Fiora,true,0,0,0,7,0,1,0,6,0,0,1,0
10-05-2023,00:30:00,Jax,true,0,0,0,18,0,5,0,14,0,0,12,0
10-05-2023,00:29:01,Jax,true,0,0,0,22,0,1,2,7,0,0,9,0
27-04-2023,00:23:39,Jax,true,0,0,0,15,0,2,0,9,0,0,7,1
25-04-2023,00:29:34,Jax,true,0,0,0,25,0,3,7,27,1,0,11,0
25-04-2023,00:25:57,Jax,true,2,0,0,25,0,1,0,12,0,3,20,0
25-04-2023,00:34:10,Jax,true,1,0,0,35,0,4,1,20,0,0,24,0
25-04-2023,00:19:17,Jax,true,0,0,0,4,0,0,0,10,1,0,9,0
25-04-2023,00:18:07,Fiora,true,0,0,0,2,0,4,0,3,0,0,2,0
25-04-2023,00:29:07,Jax,true,0,0,0,10,0,4,2,21,0,0,11,0
25-04-2023,00:36:40,Jax,true,0,0,0,15,0,2,1,20,1,0,13,0
25-04-2023,00:22:19,Jax,true,0,0,0,5,0,3,0,7,0,0,18,0
25-04-2023,00:36:54,Fiora,true,0,0,0,10,0,1,2,23,3,0,7,0
25-04-2023,00:27:08,Jax,true,0,0,0,9,0,5,4,15,1,0,14,0
25-04-2023,00:24:58,Jax,true,0,0,0,1,0,5,0,4,0,0,1,7
25-04-2023,00:26:14,Jax,false,2,0,0,12,0,1,1,6,0,0,8,10
25-04-2023,00:22:16,Vayne,true,0,0,0,10,0,3,2,5,0,0,5,2
25-04-2023,00:33:45,Fiora,false,1,0,0,22,0,2,2,12,0,0,18,0
24-04-2023,00:28:37,Jax,true,0,0,0,14,0,3,2,19,0,1,15,0
24-04-2023,00:24:38,Jax,true,0,0,0,10,0,3,2,12,0,2,7,0
24-04-2023,00:28:44,Jax,true,1,0,0,9,0,4,2,4,0,5,5,6
24-04-2023,00:15:50,Jax,false,0,0,0,2,0,1,2,8,0,10,0,1
24-04-2023,00:36:30,Jax,true,0,0,0,18,0,1,2,22,0,4,23,1
24-04-2023,00:20:20,Jax,false,0,0,0,4,0,1,0,10,0,0,1,0
24-04-2023,00:19:23,Jax,true,0,0,0,4,0,1,0,0,0,0,1,6
24-04-2023,00:25:02,Jax,false,0,0,0,11,0,1,4,13,0,3,9,0
24-04-2023,00:29:56,Fiora,true,0,0,0,20,0,3,0,10,0,0,6,0
24-04-2023,00:22:56,Warwick,false,0,0,0,2,0,2,1,6,0,0,1,0
24-04-2023,00:29:10,Warwick,false,0,0,0,23,0,5,2,13,0,0,8,0
24-04-2023,00:32:38,Warwick,true,0,0,0,35,0,3,1,7,0,0,19,0
24-04-2023,00:15:14,Jax,true,0,0,0,1,0,1,1,4,0,0,0,0
24-04-2023,00:22:42,Fiora,true,0,0,0,4,0,2,3,6,0,0,7,0
24-04-2023,00:25:07,Jax,false,0,0,0,14,0,6,1,22,2,0,12,0
24-04-2023,00:28:45,Jax,true,0,0,0,25,0,2,2,8,0,0,10,6
24-04-2023,00:15:15,Jax,true,0,0,0,9,0,1,2,2,0,1,10,0
24-04-2023,00:19:02,Jax,true,0,0,0,3,0,4,0,3,0,0,2,0
24-04-2023,00:24:51,Jax,true,0,0,0,6,0,2,6,14,0,0,7,0
23-04-2023,00:32:51,Jax,true,0,0,0,3,0,4,8,3,0,0,7,0
23-04-2023,00:46:58,Jax,true,1,0,0,31,0,5,5,33,0,0,20,0
23-04-2023,00:19:12,Jax,false,0,0,0,7,0,0,0,8,0,0,1,0
23-04-2023,00:31:10,Jax,true,1,0,0,10,0,0,4,6,0,0,9,21
23-04-2023,00:28:22,Jax,true,0,0,0,10,0,7,0,6,0,0,5,0
23-04-2023,00:16:04,Warwick,true,0,0,0,3,0,2,0,6,0,0,3,5
23-04-2023,00:19:08,Jax,true,0,0,0,12,0,0,0,16,0,1,9,19
23-04-2023,00:18:59,Jax,false,0,0,0,7,0,1,0,3,0,0,1,0
23-04-2023,00:29:48,Jax,true,1,0,0,10,0,1,1,8,0,0,12,4
23-04-2023,00:22:59,Jax,false,0,0,0,6,0,1,2,11,0,0,9,0
23-04-2023,00:20:23,Fiora,true,0,0,0,7,0,1,0,5,0,1,11,10
23-04-2023,00:15:16,Jax,true,0,0,0,0,0,3,1,0,0,0,2,0
22-04-2023,00:15:33,Jax,false,0,0,0,1,0,0,1,0,0,0,1,0
22-04-2023,00:26:42,Jax,false,0,0,0,1,0,0,0,3,0,0,0,0
22-04-2023,00:23:47,Jax,false,0,0,0,7,0,0,4,1,0,0,0,0
22-04-2023,00:25:00,Warwick,true,0,0,0,6,0,1,2,13,0,0,8,0
22-04-2023,00:20:19,Jax,false,0,0,0,4,0,1,1,6,0,0,4,15
22-04-2023,00:29:48,Garen,false,0,0,0,20,0,1,2,12,0,0,6,0
22-04-2023,00:29:30,Fiora,true,0,0,0,16,0,6,6,29,1,1,16,3
22-04-2023,00:25:48,Jax,false,0,0,0,9,0,6,3,8,0,0,5,0
22-04-2023,00:15:27,Jax,true,0,0,0,4,0,1,1,3,0,0,2,0
22-04-2023,00:27:04,Jax,false,0,0,0,9,0,1,1,8,0,0,6,0
22-04-2023,00:29:58,Fiora,false,0,0,0,3,0,9,2,4,0,0,9,0
22-04-2023,00:24:26,Jax,false,0,0,0,10,0,3,2,4,0,0,17,0
22-04-2023,00:16:37,Jax,true,0,0,0,1,0,1,1,3,0,0,0,0
22-04-2023,00:23:32,Jax,true,0,0,0,15,0,2,5,19,0,1,20,1
22-04-2023,00:25:42,Jax,false,0,0,0,0,0,0,2,0,0,0,0,0
21-04-2023,00:01:46,Jax,true,0,0,0,0,0,0,0,0,0,0,0,0
21-04-2023,00:25:06,Fiora,true,0,0,0,12,0,5,0,6,0,0,10,0
